,Original Comment,Original Sentiment,P/E Sentiment,P/E Explanation (Persian)
10,طعم پیتزا زیاد خوب نبود واصلا سیرنشدم ولی خب سالاد اوکی بود و راضی کننده بود,negative,neutral,دلیل اصلی این پیش‌بینی این است که مشتری در مورد پیتزا و سالاد نظرات متفاوتی داشته است. او از طعم پیتزا راضی نبوده و احساس گرسنگی کرده است، اما از سالاد راضی بوده است. این تعادل بین نظرات منفی و مثبت باعث شده تا نظرات کلی مشتری خنثی باشد.
11,چیکن فیله خوشمزه بود ولی نسبت به قبل حجمش کمتر شده بود، ساندویچ مرغ مدیترانه‌ای هم خوب بود ولی خیلی کوچیک بود بهتر بود اندازه ساندویچ مینوشتن که مینی بوده!,positive,neutral,دلیل اصلی این پیش‌بینی این است که مشتری در مورد دو محصول مختلف نظر داده است. او می‌گوید که چیکن فیله خوشمزه بود، اما حجمش کمتر شده بود و ساندویچ مرغ مدیترانه‌ای هم خوب بود، اما خیلی کوچک بود. این نشان می‌دهد که مشتری هم نظرات مثبت و هم منفی دارد، بنابراین احساس کلی او خنثی است.
12,خیلی خیلی پر گوشت و عالی بود.,positive,positive,"دلیل اصلی این پیش‌بینی، استفاده از کلمات مثبت و تأکیدی مانند ""خیلی خیلی"" و ""عالی"" است که نشان‌دهنده رضایت و علاقه نویسنده به موضوع مورد نظر است."
13,خیلی تازه و خوشمزس,positive,positive,"دلیل اصلی این پیش‌بینی استفاده از کلمات مثبتی مانند ""تازه"" و ""خوشمزه"" است که نشان‌دهنده رضایت و تمجید از محصول است."
14,برای چندمین بار تکرار شد. آقا کیفیت نون بسیار خوب.. ولی چرا نون بیات روز قبل رو وسط نون‌های تازه میذارین؟ ۴ تا تازه بود یکیش بیات. نمیدونم شاید کارگرتون این کارو میکنه. تذکر بدین. کیفیت نون تازتون عالیه ولی با این کار دفعه دیگه سفارش نمیدم,negative,negative,دلیل اصلی این پیش‌بینی این است که مشتری اگرچه کیفیت نون تازه را خوب ارزیابی کرده است، اما از اینکه نون‌های بیات در میان نون‌های تازه قرار داده شده است، ناراضی است و تهدید به عدم سفارش مجدد کرده است.
15,سلام و خسته نباشین خدمت شما ….. ببینید کیفیت غذاتون عالیه طعم‌ها بیست و بسته بندی عالی ولی متاسفانه توی دیزی اصلا گوشت پیدا نمیکنی همش نخوده و یک تیکه استخوان که به اندازه یک بند انگشت گوشت داره آخه حیفه برای رستوران شما,negative,neutral,دلیل اصلی این پیش‌بینی این است که مشتری از کیفیت و طعم غذاها و بسته‌بندی رستوران رضایت دارد، اما از کمبود گوشت در دیزی و وجود استخوان‌های زیاد ناراضی است. این ترکیب از نظرات مثبت و منفی باعث می‌شود که نظرات کلی مشتری خنثی باشد.
16,پیتزاش عملا هیچ چیزی نداشت: / یه نون بود با ۱۵ تا تیکه مرغ مکعبی: / البته دلار رفته بالا ولی …,negative,negative,"دلیل اصلی این پیش‌بینی، وجود کلمات و عباراتی است که نشان‌دهنده نارضایتی و انتقاد نسبت به پیتزا است، مانند ""هیچ چیزی نداشت"" و ""دلار رفته بالا ولی"" که نشان می‌دهد انتظارات مشتری برآورده نشده است."
17,واقعا هفت هشت تا دونه قارچ شانزده هزار تومن؟ من باید شکایتمو به کی بگم؟,negative,negative,"دلیل اصلی این پیش‌بینی این است که نویسنده از قیمت بالای قارچ شکایت دارد و از اینکه باید این قیمت را بپردازد ناراضی است. استفاده از کلمات و عبارات مانند ""واقعا"" و ""من باید شکایتمو به کی بگم"" نشان‌دهنده نارضایتی و عصبانیت نویسنده است."
18,نوشیدنی که سفارش داده بودم متاسفانه نبود تو بسته بندی و غذا بسیار سرد بود,negative,negative,دلیل اصلی این پیش‌بینی این است که مشتری از دو مورد ناراضی بوده است: اول اینکه نوشیدنی سفارش داده شده در بسته بندی وجود نداشته است و دوم اینکه غذا بسیار سرد بوده است. این دو مورد منفی باعث شده است که مشتری تجربه منفی از خرید خود داشته باشد.
19,ساندویچها بدون سس سفارش داده شده بود که با سس فراوان دست ما رسید. کوکای زیرو نوشته بودم که بدون هماهنگی ساده فرستادند,negative,negative,دلیل اصلی این پیش‌بینی این است که مشتری از دو مورد ناراضی بوده است: اول اینکه ساندویچ‌ها با وجود درخواست بدون سس، با سس فراوان ارسال شده‌اند و دوم اینکه کوکای زیرو بدون هماهنگی با مشتری، به صورت ساده ارسال شده است. این دو مورد نشان‌دهنده عدم توجه به درخواست‌های مشتری و عدم کیفیت خدمات است که منجر به یک تجربه منفی برای مشتری شده است.
20,چند روزه گرفتمش دارم استفاده میکنم  خیلی عالیه وکیفیت صدا حرف نداره  صدار که بلند می کنی از کیفیت صدا کم نمیشه در کل خرید این سیستم صوتی را پیشنهاد مکنم ,positive,positive,"دلیل اصلی این پیش‌بینی این است که مشتری از کیفیت صدا و عملکرد سیستم صوتی ابراز رضایت کرده و آن را ""خیلی عالیه"" توصیف کرده است و همچنین خرید آن را به دیگران توصیه می‌کند."
21,بعد از کلی تحقیق خرید مش عالی اگر قیمتش مهم نیست پیشنهاد میکنم بخرید ,positive,positive,"دلیل اصلی این پیش‌بینی این است که مشتری پس از تحقیقات گسترده، این محصول را ""مش عالی"" توصیف کرده و آن را به دیگران توصیه کرده است، نشان‌دهنده رضایت و علاقه او به محصول است."
22,حدود یک ماهه این تلویزیون رو خریدم و از 10 نمره بهش 9 رو میدم تلویزیون با کیفیت و مدرنیه و ظاهرش هم زیباست  تو این رنج قیمتی شاید بهترین انتخاب باشه برای فضای بزرگ مناسب نیست و بهتره سراغ سایز های بزرگ تر برید   چند تا نکته حرفه ای  که ممکنه به دردتون بخوره   سیستم عامل تایزن سیستم عامل با کاربری راحته و زیاد حرفه ای و پر امکانات نیست ولی خیلی بهتر از رابط کاربری تلویزیون های غیر هوشمنده فقط یک ورودی کامپوزیت  ای وی  وجود داره که اونم در صورت استفاده از کامپوننت مختل میشه و اگر تعداد دستگاه های ورودی قدیمیتون کمه مشکلی نیست چون دو تا ورودی اچ دی ام آی وجود داره کنترل تلویزیون ساده هست و کنترل اصلی سری 6 رو باید از بازار تهیه کرد   این کنترل برای عملیات های اصلی مناسبه ولی کار براش ممکنه برای افراد قدیمی تر سخت باشه خصوصا زمان استفاده از امکانات مختلف تلویزیون کنترل های قبلی سامسونگ همگی با این دستگاه سازگارن   باتری های کنترل قلمی هستن کیفیت تصویر قابل قبوله و تنظیمات زیادی داره و مود های مختلفی هم داره که شما رو از سردرگمی برای یه آپشن خوب نجات میده یک پورت یو اس بی 1 آمپر برای هارد اکسترنال داره و یک پورت نیم آمپر برای فلش مموری هر چند میشه از هر دو برای هر دو مورد استفاده کرد اگر میخواید از قابلیت وب و برنامه های تلویزیون راحت تر استفاده کنین میتونین کیبورد و موس بلوتوث تهیه کنین  ,neutral,positive,دلیل اصلی این پیش‌بینی این است که مشتری از خرید تلویزیون خود راضی بوده و از کیفیت و ظاهر آن تمجید کرده است. همچنین، او چندین نکته حرفه‌ای در مورد تلویزیون ارائه داده است که نشان می‌دهد او به طور کلی از خرید خود راضی بوده است. اگرچه او چندین نقطه ضعف را نیز ذکر کرده است، اما این نقص‌ها را به عنوان یک مشکل بزرگ تلقی نمی‌کند و در عوض، آنها را به عنوان نکاتی در نظر می‌گیرد که ممکن است به کاربران دیگر کمک کند.
23,طراحی این محصول بسیار عالیست و مدل کیبورد شباهت زیادی به مک بوک دارد هارد ssd سرعت بوت را بسیار بالا و 5 ثانیه کرده  تاچ پد بسیار با کیفیت است و کار کردن با آن لذت بخش است  کیفیت صفحه نمایش قابل قبول است پورت ها هم مکفی است  وزن بسیار عالی و سبک است فن بسیار کم صدا است و جای آن درست بین لولای صفحه است فقط در هنگامی که برنامه سنگین اجرا کنید صداش بالا میره  درکل تنها اشکال من کم بودن زاویه کم باز شدن صفحه است باتری هم حداقل 3 و حداکثر 7 ساعت نگه میداره  من باهاش پریمیر رندر میگیرم مشکلی ندارم و عالی است ,negative,positive,دلیل اصلی این پیش‌بینی مثبت، وجود تعداد زیادی از ویژگی‌های مثبت و ستایش‌آمیز در مورد محصول است، مانند طراحی عالی، کیفیت صفحه نمایش قابل قبول، تاچ پد با کیفیت، وزن سبک، و فن کم صدا. همچنین، کاربر از عملکرد محصول در اجرای برنامه‌های سنگین مانند پریمیر ابراز رضایت کرده است. اگرچه چند مورد نقصی مانند کم بودن زاویه باز شدن صفحه و محدودیت مدت زمان شارژ باتری وجود دارد، اما این موارد نمی‌توانند بر روی کلیت مثبت نظرات کاربر تأثیر بگذارند.
24,اولین بار نیست که از دیجی لوازم آرایش سفارش میدم  واقعا که تا حالا هر چی سفارش دادم عالی بوده و اصل  این پن کیک هم رنگشو شانسی انتخاب کردم و میتونم بگم واقعا شبیه به رنگ طبیعی پوست هست  تقریبا پوست نه خیلی سفید نه سبزه  ماندگاری خوبی هم داره ,negative,positive,دلیل اصلی پیش‌بینی مثبت این است که مشتری تجربه خرید قبلی از دیجی لوازم آرایش داشته و از کیفیت محصولات و اصل بودن آن‌ها راضی بوده است. همچنین، از محصول پن کیک هم راضی بوده و رنگ آن را شبیه به رنگ طبیعی پوست خود توصیف کرده است. این نشان می‌دهد که مشتری از خرید خود راضی بوده و تجربه مثبت داشته است.
25,دستگاه روز جمعه به دستم رسید ویندوز 10 نصب کردم حالت فلشی که برای نصب ویندوز آماده میکنید حتما بصورت ufei باشه و ویندوز رو روی SSD بریزید که سرعت بالا اومدن ویندوز حدود 5 ثانیه میشه کلا خیلی خوب و قدرتمند هست از خریدم راضیم و چندتا محاسبه زدم خیلی خوب جواب داد  اگه مشکل مالی برای این مبلغ ندارید حتما پیشنهاد میکنم بخرید چون حداقل تا 4 سال جواب کار رو میده ,positive,positive,دلیل اصلی این پیش‌بینی این است که مشتری از خرید خود راضی است و از قدرت و سرعت دستگاه تمجید کرده است. او همچنین آن را به دیگران توصیه می‌کند و می‌گوید که حداقل تا ۴ سال جوابگوی نیازهای آنها خواهد بود.
26,قیمتش می تونست خیلی پایین تر باشه ,positive,negative,دلیل اصلی این پیش‌بینی این است که نویسنده معتقد است قیمت محصول می‌توانست پایین‌تر باشد، که نشان‌دهنده نارضایتی و انتقاد نسبت به قیمت است.
27,دورببن خیلی خوبیه کیفیت نسبتا خوبی داره ولی تو عکسا وقتی زوم میکنی عکس بهتر میوفته در کل چیز خوبیه عکسای خیلی خوبی میشه گرفت  ,positive,positive,"دلیل اصلی این پیش‌بینی این است که نویسنده در مورد دوربین اظهار رضایت کرده و آن را ""خوب"" توصیف کرده است. همچنین، نویسنده اظهار داشته است که کیفیت دوربین ""نسبتا خوب"" است و می‌توان با آن عکس‌های خوبی گرفت."
28,کیفیت ساخت و زیبایی عالی ,positive,positive,"دلیل اصلی این پیش‌بینی این است که کلمات ""کیفیت ساخت و زیبایی عالی"" حاوی معانی مثبت و ستایشگرانه هستند و نشان‌دهنده رضایت و تحسین نویسنده از محصول مورد نظر هستند."
29,این محصول بسیار عالی و با کیفیت هست  ,positive,positive,"دلیل اصلی این پیش‌بینی این است که در این بررسی، کلمات مثبتی مانند ""عالی"" و ""با کیفیت"" استفاده شده است که نشان‌دهنده رضایت و ارزیابی مثبت خریدار از محصول است."
30,من این لپ تاپو برای دوستم سفارش دادم   مال خودمم مارک اچ پی هست و واقعا خیلی خیلی ازش راضی هستم خدا ر و شکر البته مدل مال من از این خیلی بالاتره اما از اونجایی که خدا رو شکر خیلی از لپ تاپ خودم راضی بودم تصمیم گرفتم تو این رنج قیمت برند خوب اچ پی رو انتخاب کنم ضعفاش هموناییه که نوشتم که البته مشکل صفه کلید با خرید استیکر مخصوص صفه کلید به راحتی قابل حله الانم دارم با همین لپ تاپ این نظر رو مینویسم و در آخر خیلی خیلی ممنونم از دیجی کالای عزیز بخاطر خدمات خوبش و سرعت عملش تو ارسال خرید اولین بارم بود ازش خرید میکردم ولی واقعا از حالا به بعد مشتریه ثابتشم راستی ویندوز مناسب برای این لپ تاپ همونطور که تو نقد و بررسی نوشته شده ویندوز ده هست روش نصب کردم و الحمدالله بی هیچ مشکلی داره کار میکنه  ,positive,positive,دلیل اصلی پیش‌بینی مثبت این است که مشتری از خرید خود بسیار راضی بوده و از خدمات دیجی کالا و کیفیت لپ تاپ اچ پی تعریف کرده است. او همچنین مشکلات احتمالی را ذکر کرده، اما آنها را قابل حل دانسته است. این نشان می‌دهد که مشتری تجربه مثبتی از خرید خود داشته است.
31,من این لپ تاپ رو خریدم که باهاش کار تدوین فیلم انجام بدم ولی باید بگم که کلا لپ تاپ برای کارای تدوین اصلا بدرد نمیخوره حالا هر چقدر هم از سخت افزار خوبی برخوردار باشه اینو گفتم که گول اون کاربری مولتی مدیای که نوشته رو نخورید  ولی در کل لپ تاپ خوبیه متاسفانه برنامه ادیوس که یکی از نرم افزارهای تدوین فیلم هست روی این لپ تاپ عملکرد فوق العاده ضعیفی داشت من حتی بسختی میتونستم با فتوشاپ با این لپ تاپ کار کنم نمیخام بگم لپ تاپ بدی هست اما بدرد این کارهایی که گفتم نمیخوره با پول این لپ تاپ میتونید یه کیس خوب ببندید با قدرت خیلی بیشتر نسبت به قیمتش لپ تاپ خوبیه ولی بدرد کار من نخورد من تو استفاده از این برنامه ها از این لپ تاپ اصلا راضی نبودم یا علی ,neutral,neutral,دلیل اصلی این پیش‌بینی این است که کاربر در مورد لپ تاپ نظرات دوگانه دارد. از یک طرف، او می‌گوید که لپ تاپ خوبیه، اما از طرف دیگر، می‌گوید که برای کارهای تدوین فیلم و استفاده از برنامه‌های خاص مانند ادیوس و فتوشاپ عملکرد ضعیفی دارد. این نشان می‌دهد که کاربر در مورد لپ تاپ احساسات مثبتی دارد، اما انتظاراتش از آن در برخی زمینه‌ها برآورده نشده است.
