Original Comment,Original Sentiment,P/E Sentiment,P/E Explanation (Persian)
طعم پیتزا زیاد خوب نبود واصلا سیرنشدم ولی خب سالاد اوکی بود و راضی کننده بود,negative,error,error
چیکن فیله خوشمزه بود ولی نسبت به قبل حجمش کمتر شده بود، ساندویچ مرغ مدیترانه‌ای هم خوب بود ولی خیلی کوچیک بود بهتر بود اندازه ساندویچ مینوشتن که مینی بوده!,positive,[negative],در این بررسی، مشتری از چیکن فیله و ساندویچ مرغ مدیترانه‌ای خوشش آمده است اما از کم حجم بودن چیکن فیله و کوچکی ساندویچ ناراضی است. این نارضایتی باعث می‌شود که احساس منفی در بررسی ایجاد شود.
خیلی خیلی پر گوشت و عالی بود.,positive,[positive],"دلیل اصلی پیش بینی من این است که کلمه ""خیلی"" دو بار تکرار شده است که نشان دهنده علاقه و رضایت زیاد است. همچنین کلمه ""عالی"" نیز نشان دهنده کیفیت خوب و رضایت است."
خیلی تازه و خوشمزس,positive,[positive],"این جمله مثبت است زیرا کلمه ""خوشمزس"" به معنای خوشحال و راضی است و در کنار آن کلمه ""تازه"" که به معنی جدید و تازه است، استفاده شده است که نشان دهنده رضایت از محصول یا خدمتی است."
برای چندمین بار تکرار شد. آقا کیفیت نون بسیار خوب.. ولی چرا نون بیات روز قبل رو وسط نون‌های تازه میذارین؟ ۴ تا تازه بود یکیش بیات. نمیدونم شاید کارگرتون این کارو میکنه. تذکر بدین. کیفیت نون تازتون عالیه ولی با این کار دفعه دیگه سفارش نمیدم,negative,[negative],دلیل اصلی این پیش‌بینی این است که در حالی که مشتری کیفیت نون را بسیار خوب می‌داند، اما با وجود این که نون بیات را وسط نون‌های تازه قرار دادن، باعث نارضایتی او شده است. این عمل باعث شده تا مشتری از سفارش دوباره نون در آینده خودداری کند.
سلام و خسته نباشین خدمت شما ….. ببینید کیفیت غذاتون عالیه طعم‌ها بیست و بسته بندی عالی ولی متاسفانه توی دیزی اصلا گوشت پیدا نمیکنی همش نخوده و یک تیکه استخوان که به اندازه یک بند انگشت گوشت داره آخه حیفه برای رستوران شما,negative,[negative],کلید دلیل این پیش بینی این است که در این نقد، از کیفیت غذای رستوران به طور کلی مثبت صحبت شده است، اما در مورد دیزی، چندین مشکل وجود دارد که از جمله آنها می‌توان به عدم وجود گوشت و وجود استخوان اشاره کرد. این مشکلات، در مجموع، منجر به احساس ناخوشایندی در مورد رستوران شده است.
پیتزاش عملا هیچ چیزی نداشت: / یه نون بود با ۱۵ تا تیکه مرغ مکعبی: / البته دلار رفته بالا ولی …,negative,[negative],[پیتزا هیچ ویژگی یا مزیتی نداشته است و تنها یک نون با ۱۵ تکه مرغ مکعبی داشته است.]
واقعا هفت هشت تا دونه قارچ شانزده هزار تومن؟ من باید شکایتمو به کی بگم؟,negative,[negative],"[در این متن، نفرت و شکایت از قیمت زیاد قارچ بیان شده است. کلمه ""واقعا"" که در ابتدای متن استفاده شده است، نشان‌دهنده عصبانیت و تعجب است. همچنین کلمه ""من باید شکایتمو به کی بگم؟"" نشان‌دهنده عدم رضایت و عدم اطمینان است.]"
نوشیدنی که سفارش داده بودم متاسفانه نبود تو بسته بندی و غذا بسیار سرد بود,negative,[negative],[باعث این احساس منفی، عدم تطابق محصول با انتظارات مشتری و همچنین سرد بودن غذا در بسته بندی است.]
ساندویچها بدون سس سفارش داده شده بود که با سس فراوان دست ما رسید. کوکای زیرو نوشته بودم که بدون هماهنگی ساده فرستادند,negative,error,error
چند روزه گرفتمش دارم استفاده میکنم  خیلی عالیه وکیفیت صدا حرف نداره  صدار که بلند می کنی از کیفیت صدا کم نمیشه در کل خرید این سیستم صوتی را پیشنهاد مکنم ,positive,[positive],[کیفیت صدا و عملکرد سیستم صوتی بسیار خوب بوده است و خرید آن را توصیه می‌کند.]
بعد از کلی تحقیق خرید مش عالی اگر قیمتش مهم نیست پیشنهاد میکنم بخرید ,positive,[positive],موجودی این جمله نشان می دهد که خرید مش، یک خرید عالی است و اگر قیمت مهم نباشد، خرید مش را پیشنهاد می دهد. این نشان دهنده رضایت و پیشنهاد خرید است.
حدود یک ماهه این تلویزیون رو خریدم و از 10 نمره بهش 9 رو میدم تلویزیون با کیفیت و مدرنیه و ظاهرش هم زیباست  تو این رنج قیمتی شاید بهترین انتخاب باشه برای فضای بزرگ مناسب نیست و بهتره سراغ سایز های بزرگ تر برید   چند تا نکته حرفه ای  که ممکنه به دردتون بخوره   سیستم عامل تایزن سیستم عامل با کاربری راحته و زیاد حرفه ای و پر امکانات نیست ولی خیلی بهتر از رابط کاربری تلویزیون های غیر هوشمنده فقط یک ورودی کامپوزیت  ای وی  وجود داره که اونم در صورت استفاده از کامپوننت مختل میشه و اگر تعداد دستگاه های ورودی قدیمیتون کمه مشکلی نیست چون دو تا ورودی اچ دی ام آی وجود داره کنترل تلویزیون ساده هست و کنترل اصلی سری 6 رو باید از بازار تهیه کرد   این کنترل برای عملیات های اصلی مناسبه ولی کار براش ممکنه برای افراد قدیمی تر سخت باشه خصوصا زمان استفاده از امکانات مختلف تلویزیون کنترل های قبلی سامسونگ همگی با این دستگاه سازگارن   باتری های کنترل قلمی هستن کیفیت تصویر قابل قبوله و تنظیمات زیادی داره و مود های مختلفی هم داره که شما رو از سردرگمی برای یه آپشن خوب نجات میده یک پورت یو اس بی 1 آمپر برای هارد اکسترنال داره و یک پورت نیم آمپر برای فلش مموری هر چند میشه از هر دو برای هر دو مورد استفاده کرد اگر میخواید از قابلیت وب و برنامه های تلویزیون راحت تر استفاده کنین میتونین کیبورد و موس بلوتوث تهیه کنین  ,neutral,[positive],کلید اصلی برای پیش بینی این احساس مثبت، این است که نویسنده از تلویزیون به طور کلی رضایت داشته و آن را با کیفیت و مدرن توصیف می کند. او همچنین به برخی از محدودیت ها اشاره می کند، اما این محدودیت ها به صورت جزئی و قابل تحمل هستند. نویسنده همچنین به برخی از ویژگی های تلویزیون مانند سیستم عامل تایزن، کیفیت تصویر و تنظیمات متعدد اشاره می کند که نشان دهنده رضایت او از تلویزیون است.
طراحی این محصول بسیار عالیست و مدل کیبورد شباهت زیادی به مک بوک دارد هارد ssd سرعت بوت را بسیار بالا و 5 ثانیه کرده  تاچ پد بسیار با کیفیت است و کار کردن با آن لذت بخش است  کیفیت صفحه نمایش قابل قبول است پورت ها هم مکفی است  وزن بسیار عالی و سبک است فن بسیار کم صدا است و جای آن درست بین لولای صفحه است فقط در هنگامی که برنامه سنگین اجرا کنید صداش بالا میره  درکل تنها اشکال من کم بودن زاویه کم باز شدن صفحه است باتری هم حداقل 3 و حداکثر 7 ساعت نگه میداره  من باهاش پریمیر رندر میگیرم مشکلی ندارم و عالی است ,negative,[positive],این نقد مثبت است زیرا در آن به طراحی، کیفیت کیبورد، سرعت بوت، کیفیت صفحه نمایش، پورت ها، وزن، فن، باتری و عملکرد برنامه های سنگین اشاره شده است و تنها یک نقص ذکر شده است که کم بودن زاویه باز شدن صفحه است.
اولین بار نیست که از دیجی لوازم آرایش سفارش میدم  واقعا که تا حالا هر چی سفارش دادم عالی بوده و اصل  این پن کیک هم رنگشو شانسی انتخاب کردم و میتونم بگم واقعا شبیه به رنگ طبیعی پوست هست  تقریبا پوست نه خیلی سفید نه سبزه  ماندگاری خوبی هم داره ,negative,[positive],این نظر مثبت است زیرا مشتری از کیفیت و ظاهر کیک پن که سفارش داده بود، رضایت داشته و آن را عالی توصیف کرده است. همچنین از ماندگاری خوب آن هم خرسند است.
دستگاه روز جمعه به دستم رسید ویندوز 10 نصب کردم حالت فلشی که برای نصب ویندوز آماده میکنید حتما بصورت ufei باشه و ویندوز رو روی SSD بریزید که سرعت بالا اومدن ویندوز حدود 5 ثانیه میشه کلا خیلی خوب و قدرتمند هست از خریدم راضیم و چندتا محاسبه زدم خیلی خوب جواب داد  اگه مشکل مالی برای این مبلغ ندارید حتما پیشنهاد میکنم بخرید چون حداقل تا 4 سال جواب کار رو میده ,positive,[positive],این بررسی مثبت است به دلیل اینکه خریدار از محصول بسیار راضی است و آن را قدرتمند و سریع می‌داند. او همچنین از خریدش خرسند است و پیشنهاد می‌کند که اگر کسی مشکل مالی ندارد، این محصول را خریداری کند.
قیمتش می تونست خیلی پایین تر باشه ,positive,[negative],قیمتش می تونست خیلی پایین تر باشه نشان می دهد که قیمت محصول زیاد است و مشتری انتظار قیمت پایین تری را داشت.
دورببن خیلی خوبیه کیفیت نسبتا خوبی داره ولی تو عکسا وقتی زوم میکنی عکس بهتر میوفته در کل چیز خوبیه عکسای خیلی خوبی میشه گرفت  ,positive,[positive],"در این بررسی، استفاده از کلمات مثبتی مانند ""خوبیه"" و ""چیز خوبیه"" نشان از رضایت کاربر از محصول دارد."
کیفیت ساخت و زیبایی عالی ,positive,error,error
این محصول بسیار عالی و با کیفیت هست  ,positive,[positive],[این محصول بسیار عالی و با کیفیت هست  نشان می دهد که خریدار از محصول بسیار خوشحال است و کیفیت آن را بسیار خوب ارزیابی می کند.]
من این لپ تاپو برای دوستم سفارش دادم   مال خودمم مارک اچ پی هست و واقعا خیلی خیلی ازش راضی هستم خدا ر و شکر البته مدل مال من از این خیلی بالاتره اما از اونجایی که خدا رو شکر خیلی از لپ تاپ خودم راضی بودم تصمیم گرفتم تو این رنج قیمت برند خوب اچ پی رو انتخاب کنم ضعفاش هموناییه که نوشتم که البته مشکل صفه کلید با خرید استیکر مخصوص صفه کلید به راحتی قابل حله الانم دارم با همین لپ تاپ این نظر رو مینویسم و در آخر خیلی خیلی ممنونم از دیجی کالای عزیز بخاطر خدمات خوبش و سرعت عملش تو ارسال خرید اولین بارم بود ازش خرید میکردم ولی واقعا از حالا به بعد مشتریه ثابتشم راستی ویندوز مناسب برای این لپ تاپ همونطور که تو نقد و بررسی نوشته شده ویندوز ده هست روش نصب کردم و الحمدالله بی هیچ مشکلی داره کار میکنه  ,positive,[positive],این نظر مثبت است زیرا شخص از خرید لپ تاپ اچ پی از دیجی کالای عزیز بسیار راضی است و از خدمات خوب و سرعت عمل آن تشکر می‌کند. همچنین از لپ تاپ اچ پی خود که برای دوستش خریداری کرده، بسیار راضی است و از کیفیت آن خرسند است. تنها نقطه ضعف را که مشکل صفه کلید است، با خرید استیکر مخصوص صفه کلید حل کرده است.
من این لپ تاپ رو خریدم که باهاش کار تدوین فیلم انجام بدم ولی باید بگم که کلا لپ تاپ برای کارای تدوین اصلا بدرد نمیخوره حالا هر چقدر هم از سخت افزار خوبی برخوردار باشه اینو گفتم که گول اون کاربری مولتی مدیای که نوشته رو نخورید  ولی در کل لپ تاپ خوبیه متاسفانه برنامه ادیوس که یکی از نرم افزارهای تدوین فیلم هست روی این لپ تاپ عملکرد فوق العاده ضعیفی داشت من حتی بسختی میتونستم با فتوشاپ با این لپ تاپ کار کنم نمیخام بگم لپ تاپ بدی هست اما بدرد این کارهایی که گفتم نمیخوره با پول این لپ تاپ میتونید یه کیس خوب ببندید با قدرت خیلی بیشتر نسبت به قیمتش لپ تاپ خوبیه ولی بدرد کار من نخورد من تو استفاده از این برنامه ها از این لپ تاپ اصلا راضی نبودم یا علی ,neutral,error,error
