,Original Comment,Original Sentiment,P/E Sentiment,P/E Explanation (Persian),E/P Sentiment,E/P Explanation (Persian)
10,طعم پیتزا زیاد خوب نبود واصلا سیرنشدم ولی خب سالاد اوکی بود و راضی کننده بود,negative,negative,این بررسی نشان دهنده تجربه ای منفی در رستوران است. اگرچه سالاد رضایت بخش توصیف شده است، اما منتقد از طعم پیتزا راضی نبوده و احساس سیری نکرده است. این امر نشان دهنده یک تجربه کلی منفی است.,neutral,این بررسی کننده از طعم پیتزا راضی نبود و احساس کرد که سیر نشده است، اما سالاد را رضایت بخش و قابل قبول توصیف کرد.
11,چیکن فیله خوشمزه بود ولی نسبت به قبل حجمش کمتر شده بود، ساندویچ مرغ مدیترانه‌ای هم خوب بود ولی خیلی کوچیک بود بهتر بود اندازه ساندویچ مینوشتن که مینی بوده!,positive,neutral,این بررسی ترکیبی از احساسات مثبت و منفی را نشان می‌دهد. مشتری از طعم فیله مرغ لذت برده است، اما از کاهش حجم آن ناراضی است. همچنین، ساندویچ مرغ مدیترانه‌ای را لذیذ توصیف کرده، اما از اندازه کوچک آن انتقاد می‌کند. این نظرات متضاد منجر به یک دیدگاه خنثی کلی می‌شود.,منفی,مشتری از طعم ساندویچ مرغ مدیترانه‌ای راضی بود، اما از اندازه آن ناراضی بود و معتقد بود که اندازه آن باید در منو بهتر مشخص می‌شد.
12,خیلی خیلی پر گوشت و عالی بود.,positive,positive,"این بررسی به وضوح نشان دهنده رضایت مشتری است، زیرا از عبارت ""خیلی خیلی پر گوشت و عالی"" استفاده می‌کند که نشان دهنده کیفیت خوب محصول است.",positive,مشتری از کیفیت گوشت این محصول بسیار راضی بود و آن را لذیذ و خوشمزه توصیف کرد.
13,خیلی تازه و خوشمزس,positive,positive,"این بررسی به وضوح حاکی از یک تجربه مثبت است، زیرا از کلمات ""تازه"" و ""خوشمزه"" استفاده می‌کند که نشان‌دهنده رضایت مشتری است.",positive,این بررسی نشان می‌دهد که شخص از تازگی و طعم محصول راضی است.
14,برای چندمین بار تکرار شد. آقا کیفیت نون بسیار خوب.. ولی چرا نون بیات روز قبل رو وسط نون‌های تازه میذارین؟ ۴ تا تازه بود یکیش بیات. نمیدونم شاید کارگرتون این کارو میکنه. تذکر بدین. کیفیت نون تازتون عالیه ولی با این کار دفعه دیگه سفارش نمیدم,negative,negative,اگرچه این بررسی حاوی برخی جنبه‌های مثبت است، اما به طور کلی منفی است. مشتری از کیفیت نان راضی است، اما شکایت اصلی او در مورد قرار دادن نان بیات روز قبل در میان نان‌های تازه است، که باعث نارضایتی او شده است.,منفی,مشتری از کیفیت نان تازه تحویل داده شده راضی است، اما از قرار دادن نان بیات روز قبل در میان نان‌های تازه ناراضی است.
15,سلام و خسته نباشین خدمت شما ….. ببینید کیفیت غذاتون عالیه طعم‌ها بیست و بسته بندی عالی ولی متاسفانه توی دیزی اصلا گوشت پیدا نمیکنی همش نخوده و یک تیکه استخوان که به اندازه یک بند انگشت گوشت داره آخه حیفه برای رستوران شما,negative,negative,این بررسی نشان دهنده تجربه ای مختلط است. در حالی که کیفیت غذا، طعم و بسته بندی ستایش می شود، منتقد از کمبود گوشت در دیزی ناراضی است. این موضوع به عنوان یک نقطه منفی برجسته شده است.,منفی,مشتری از کیفیت و طعم غذای رستوران راضی است، اما نسبت به مقدار گوشت در دیزی ابراز نارضایتی کرده است.
16,پیتزاش عملا هیچ چیزی نداشت: / یه نون بود با ۱۵ تا تیکه مرغ مکعبی: / البته دلار رفته بالا ولی …,negative,negative,این بررسی به نظر منفی است، زیرا منتقد از کیفیت پیتزا ناراضی است و معتقد است که پیتزا مواد کمی دارد و ارزش پول پرداخت شده را ندارد.,negative,این بررسی کننده از کیفیت پیتزا ناراضی است، زیرا آن را به عنوان یک نان با تعداد کمی تکه مرغ توصیف می کند.
17,واقعا هفت هشت تا دونه قارچ شانزده هزار تومن؟ من باید شکایتمو به کی بگم؟,negative,negative,"این بررسی به نظر می‌رسد که از یک مشتری ناراضی است که از قیمت قارچ‌ها در یک فروشگاه یا بازار ناراضی است. کلمات ""واقعا"" و ""شکایت"" نشان‌دهنده نارضایتی و احساسات منفی هستند.",منفی,مشتری از قیمت بالای قارچ‌ها ناراضی است و احساس می‌کند که قیمت آن عادلانه نیست.
18,نوشیدنی که سفارش داده بودم متاسفانه نبود تو بسته بندی و غذا بسیار سرد بود,negative,negative,این بررسی حاکی از یک تجربه منفی است، زیرا مشتری از عدم وجود نوشیدنی سفارش داده شده و سرد بودن غذا ناراضی است. این نشان دهنده نارضایتی و تجربه نامطلوب است.,negative,مشتری از نبود نوشیدنی سفارش داده شده در بسته بندی و سرد بودن غذا ناراضی است.
19,ساندویچها بدون سس سفارش داده شده بود که با سس فراوان دست ما رسید. کوکای زیرو نوشته بودم که بدون هماهنگی ساده فرستادند,negative,negative,این بررسی به نظر منفی است، زیرا مشتری از خدمات رستوران ناراضی است. آنها سفارش خود را به درستی دریافت نکردند و به نظر می‌رسد که درخواست‌های خاص آنها نادیده گرفته شده است.,negative,مشتری از نحوه آماده‌سازی سفارش خود ناراضی است، زیرا ساندویچ‌ها با وجود درخواست بدون سس، با سس فراوان تحویل داده شدند، و نوشابه کوکای زیرو بدون هماهنگی با نوع معمولی جایگزین شده بود.
20,چند روزه گرفتمش دارم استفاده میکنم  خیلی عالیه وکیفیت صدا حرف نداره  صدار که بلند می کنی از کیفیت صدا کم نمیشه در کل خرید این سیستم صوتی را پیشنهاد مکنم ,positive,positive,این بررسی به وضوح مثبت است، زیرا نویسنده از کیفیت صدای سیستم صوتی و رضایت خود از خرید آن تمجید می‌کند.,positive,این بررسی کننده از سیستم صوتی خریداری شده بسیار راضی است و کیفیت صدای آن را ستایش می‌کند. او اشاره می‌کند که حتی در حجم صدای بالا، کیفیت صدا کاهش نمی‌یابد.
21,بعد از کلی تحقیق خرید مش عالی اگر قیمتش مهم نیست پیشنهاد میکنم بخرید ,positive,positive,این بررسی نشان دهنده یک تجربه مثبت خرید است، جایی که خریدار از محصول راضی است و آن را به دیگران توصیه می‌کند، علی‌رغم اینکه ممکن است قیمت آن کمی بالا باشد.,مثبت,"این بررسی نشان می‌دهد که خریدار قبل از خرید، تحقیق و بررسی زیادی انجام داده است و این محصول را به عنوان یک انتخاب ""عالی"" توصیف می‌کند. با این حال، به نظر می‌رسد که قیمت محصول ممکن است کمی بالا باشد، اما به دلیل کیفیت آن، خریدار آن را توصیه می‌کند."
22,حدود یک ماهه این تلویزیون رو خریدم و از 10 نمره بهش 9 رو میدم تلویزیون با کیفیت و مدرنیه و ظاهرش هم زیباست  تو این رنج قیمتی شاید بهترین انتخاب باشه برای فضای بزرگ مناسب نیست و بهتره سراغ سایز های بزرگ تر برید   چند تا نکته حرفه ای  که ممکنه به دردتون بخوره   سیستم عامل تایزن سیستم عامل با کاربری راحته و زیاد حرفه ای و پر امکانات نیست ولی خیلی بهتر از رابط کاربری تلویزیون های غیر هوشمنده فقط یک ورودی کامپوزیت  ای وی  وجود داره که اونم در صورت استفاده از کامپوننت مختل میشه و اگر تعداد دستگاه های ورودی قدیمیتون کمه مشکلی نیست چون دو تا ورودی اچ دی ام آی وجود داره کنترل تلویزیون ساده هست و کنترل اصلی سری 6 رو باید از بازار تهیه کرد   این کنترل برای عملیات های اصلی مناسبه ولی کار براش ممکنه برای افراد قدیمی تر سخت باشه خصوصا زمان استفاده از امکانات مختلف تلویزیون کنترل های قبلی سامسونگ همگی با این دستگاه سازگارن   باتری های کنترل قلمی هستن کیفیت تصویر قابل قبوله و تنظیمات زیادی داره و مود های مختلفی هم داره که شما رو از سردرگمی برای یه آپشن خوب نجات میده یک پورت یو اس بی 1 آمپر برای هارد اکسترنال داره و یک پورت نیم آمپر برای فلش مموری هر چند میشه از هر دو برای هر دو مورد استفاده کرد اگر میخواید از قابلیت وب و برنامه های تلویزیون راحت تر استفاده کنین میتونین کیبورد و موس بلوتوث تهیه کنین  ,neutral,positive,این بررسی به طور کلی مثبت است، زیرا منتقد از خرید تلویزیون خود راضی است و آن را با کیفیت، مدرن و با ظاهر زیبا توصیف می‌کند. آنها همچنین به ویژگی‌های مثبت مانند سیستم عامل آسان برای استفاده، کیفیت تصویر خوب و تنظیمات متعدد اشاره می‌کنند. اگرچه برخی محدودیت‌ها وجود دارد، اما به نظر می‌رسد که این تلویزیون یک انتخاب خوب در محدوده قیمتی,error,error
23,طراحی این محصول بسیار عالیست و مدل کیبورد شباهت زیادی به مک بوک دارد هارد ssd سرعت بوت را بسیار بالا و 5 ثانیه کرده  تاچ پد بسیار با کیفیت است و کار کردن با آن لذت بخش است  کیفیت صفحه نمایش قابل قبول است پورت ها هم مکفی است  وزن بسیار عالی و سبک است فن بسیار کم صدا است و جای آن درست بین لولای صفحه است فقط در هنگامی که برنامه سنگین اجرا کنید صداش بالا میره  درکل تنها اشکال من کم بودن زاویه کم باز شدن صفحه است باتری هم حداقل 3 و حداکثر 7 ساعت نگه میداره  من باهاش پریمیر رندر میگیرم مشکلی ندارم و عالی است ,negative,positive,این بررسی به نظر می‌رسد که یک بررسی بسیار مثبت است، زیرا به ویژگی‌های مثبت لپ‌تاپ مانند طراحی عالی، عملکرد سریع، کیفیت خوب صفحه نمایش و باتری قابل قبول اشاره دارد.,error,error
24,اولین بار نیست که از دیجی لوازم آرایش سفارش میدم  واقعا که تا حالا هر چی سفارش دادم عالی بوده و اصل  این پن کیک هم رنگشو شانسی انتخاب کردم و میتونم بگم واقعا شبیه به رنگ طبیعی پوست هست  تقریبا پوست نه خیلی سفید نه سبزه  ماندگاری خوبی هم داره ,negative,positive,این بررسی کاملاً مثبت است، زیرا مشتری از تجربه خرید خود از دیجی کالا راضی است. آنها از کیفیت و اصالت لوازم آرایشی تحسین می‌کنند و ماندگاری محصول را نیز تأیید می‌کنند.,positive,مشتری از تجربه مثبت خود در خرید لوازم آرایشی از دیجی کالا می‌گوید و از کیفیت و اصالت محصولات تحسین می‌کند. او از انتخاب رنگ پن کیک خود راضی است و می‌گوید که ماندگاری خوبی دارد.
25,دستگاه روز جمعه به دستم رسید ویندوز 10 نصب کردم حالت فلشی که برای نصب ویندوز آماده میکنید حتما بصورت ufei باشه و ویندوز رو روی SSD بریزید که سرعت بالا اومدن ویندوز حدود 5 ثانیه میشه کلا خیلی خوب و قدرتمند هست از خریدم راضیم و چندتا محاسبه زدم خیلی خوب جواب داد  اگه مشکل مالی برای این مبلغ ندارید حتما پیشنهاد میکنم بخرید چون حداقل تا 4 سال جواب کار رو میده ,positive,positive,این بررسی به نظر می‌رسد که مثبت است، زیرا نویسنده از دریافت لپ‌تاپ خود ابراز رضایت می‌کند و عملکرد آن را تحسین می‌کند. آنها از سرعت بالا آمدن ویندوز و قدرت کلی دستگاه راضی هستند و آن را به دیگران توصیه می‌کنند.,positive,خریدار از عملکرد و سرعت لپ تاپ بسیار راضی است و آن را قدرتمند و مناسب برای محاسبات سنگین می‌داند. وی همچنین از زمان بوت سریع و نصب آسان ویندوز 10 بر روی SSD تمجید می‌کند.
26,قیمتش می تونست خیلی پایین تر باشه ,positive,negative,"این بررسی نشان دهنده نارضایتی از قیمت محصول است و به نظر می‌رسد که مشتری احساس می‌کند قیمت محصول بسیار بالا است. کلمه ""پایین تر"" نشان دهنده تمایل به قیمت ارزان‌تر و مناسب‌تر است.",منفی,مشتری احساس می کند که قیمت این محصول بیش از حد است و انتظار دارد که قیمت آن پایین تر باشد.
27,دورببن خیلی خوبیه کیفیت نسبتا خوبی داره ولی تو عکسا وقتی زوم میکنی عکس بهتر میوفته در کل چیز خوبیه عکسای خیلی خوبی میشه گرفت  ,positive,positive,"این بررسی به نظر می‌رسد که احساس مثبتی نسبت به دوربین دارد، با اشاره به کیفیت خوب و توانایی گرفتن عکس‌های خوب. اگرچه به ""کیفیت نسبتاً خوب"" اشاره شده است، اما در مجموع لحن بررسی مثبت است و بر توانایی دوربین در گرفتن عکس‌های خوب تأکید دارد.",مثبت,این بررسی نشان می‌دهد که دوربین کیفیت خوبی دارد، اما کیفیت عکس‌ها هنگام زوم کردن بهتر می‌شود. این امر نشان دهنده این است که دوربین عملکرد خوبی دارد، اما می‌تواند در برخی جنبه‌ها بهتر شود.
28,کیفیت ساخت و زیبایی عالی ,positive,positive,"این بررسی به وضوح مثبت است، زیرا از عبارات ""کیفیت ساخت عالی"" و ""زیبایی"" استفاده می‌کند که نشان‌دهنده رضایت و تحسین نویسنده نسبت به محصول است.",مثبت,این بررسی کننده از کیفیت ساخت و ظاهر محصول بسیار راضی است. آنها معتقدند که محصول با دقت و با ظرافت ساخته شده است و زیبایی آن چشمگیر است.
29,این محصول بسیار عالی و با کیفیت هست  ,positive,positive,این بررسی به وضوح حاکی از یک تجربه مثبت است، زیرا خریدار از کیفیت محصول بسیار راضی است.,مثبت,خریدار از کیفیت و عملکرد محصول بسیار راضی است.
30,من این لپ تاپو برای دوستم سفارش دادم   مال خودمم مارک اچ پی هست و واقعا خیلی خیلی ازش راضی هستم خدا ر و شکر البته مدل مال من از این خیلی بالاتره اما از اونجایی که خدا رو شکر خیلی از لپ تاپ خودم راضی بودم تصمیم گرفتم تو این رنج قیمت برند خوب اچ پی رو انتخاب کنم ضعفاش هموناییه که نوشتم که البته مشکل صفه کلید با خرید استیکر مخصوص صفه کلید به راحتی قابل حله الانم دارم با همین لپ تاپ این نظر رو مینویسم و در آخر خیلی خیلی ممنونم از دیجی کالای عزیز بخاطر خدمات خوبش و سرعت عملش تو ارسال خرید اولین بارم بود ازش خرید میکردم ولی واقعا از حالا به بعد مشتریه ثابتشم راستی ویندوز مناسب برای این لپ تاپ همونطور که تو نقد و بررسی نوشته شده ویندوز ده هست روش نصب کردم و الحمدالله بی هیچ مشکلی داره کار میکنه  ,positive,positive,این بررسی به نظر مثبت می‌رسد، زیرا نویسنده از خرید لپ‌تاپ HP ابراز رضایت کرده است. آنها از عملکرد دیجی‌کالا در ارسال سریع و خدمات خوب تمجید می‌کنند و می‌گویند که از خرید خود راضی هستند. اگرچه برخی ضعف‌ها ذکر شده است، اما به نظر می‌رسد که این موارد جزئی هستند و به طور کلی تجربه مثبتی داشته‌اند,positive,این بررسی کننده از لپ‌تاپ HP سفارش داده شده برای دوستش راضی است و تجربه مثبتی با لپ‌تاپ HP خود داشته است. آنها کیفیت و خدمات دیجی کالا را تحسین می‌کنند و از انتخاب برند HP در این محدوده قیمت راضی هستند.
31,من این لپ تاپ رو خریدم که باهاش کار تدوین فیلم انجام بدم ولی باید بگم که کلا لپ تاپ برای کارای تدوین اصلا بدرد نمیخوره حالا هر چقدر هم از سخت افزار خوبی برخوردار باشه اینو گفتم که گول اون کاربری مولتی مدیای که نوشته رو نخورید  ولی در کل لپ تاپ خوبیه متاسفانه برنامه ادیوس که یکی از نرم افزارهای تدوین فیلم هست روی این لپ تاپ عملکرد فوق العاده ضعیفی داشت من حتی بسختی میتونستم با فتوشاپ با این لپ تاپ کار کنم نمیخام بگم لپ تاپ بدی هست اما بدرد این کارهایی که گفتم نمیخوره با پول این لپ تاپ میتونید یه کیس خوب ببندید با قدرت خیلی بیشتر نسبت به قیمتش لپ تاپ خوبیه ولی بدرد کار من نخورد من تو استفاده از این برنامه ها از این لپ تاپ اصلا راضی نبودم یا علی ,neutral,negative,این بررسی به نظر منفی می‌رسد، زیرا نویسنده از عملکرد لپ‌تاپ در زمینه تدوین فیلم و استفاده از نرم‌افزارهای مربوطه ناراضی است. اگرچه به نظر می‌رسد که لپ‌تاپ از نظر سخت‌افزاری خوب است، اما برای کارهای تخصصی مانند تدوین فیلم مناسب نیست.,منفی,کاربر از این لپ‌تاپ برای تدوین فیلم و کارهای گرافیکی استفاده کرده و معتقد است که علی‌رغم سخت‌افزار قدرتمند، عملکرد آن در نرم‌افزارهای تدوین فیلم مثل ادیوس و فتوشاپ ضعیف بوده است.
