id,actual_answer,split,question,choice_A,choice_B,choice_C,choice_D
Mercury_401402,D,train,فتوسنتز یک فرایند است که شامل دی‌اکسید کربن، آب، گلوکز، اکسیژن و نور خورشید می‌باشد. کدام معادله شیمیایی صحیح برای فتوسنتز است؟,O_{2} + H_{2}O + انرژی -> C_{6}H_{12}O_{6} + CO_{2},CO_{2} + H_{2}O -> C_{6}H_{6}O_{3} + O_{2} + انرژی,6O_{2} + 6H_{2}O -> C_{6}H_{12}O_{6} + 6CO_{2} + انرژی,6CO_{2} + 6H_{2}O + انرژی -> C_{6}H_{12}O_{6} + 6O_{2}
MCAS_2005_8_4,B,train,کدامیک از موارد زیر نمونه‌ای از یک تغییر فیزیکی است؟,روشن کردن یک کبریت,شکستن یک شیشه,سوختن بنزین,زنگ‌زدگی آهن
MCAS_2007_8_5180,C,train,کدام یک از مناطق زیر بیشتر احتمال دارد تا سنگ‌های دگرگونی مانند گنیس و شیست را تشکیل دهد؟,بستر دریا,بیابان بادزده,محل عمیق زیر زمین,محل تحت پوشش یخچال
TIMSS_1995_8_K12,C,train,حشرات نر در یک جمعیت برای جلوگیری از تولید اسپرم درمان می‌شوند. آیا این کار می‌تواند جمعیت این حشرات را کاهش دهد؟,خیر، زیرا حشرات هنوز هم جفت‌گیری خواهند کرد.,خیر، زیرا این کار نرخ جهش فرزندان را تغییر نمی‌دهد.,بله، زیرا این کار به شدت نرخ زاد و ولد را کاهش می‌دهد.,بله، زیرا نرها خواهند مرد.
MDSA_2008_5_30,A,train,در زمین، آب می‌تواند به صورت جامد، مایع یا گاز باشد. کدام منبع انرژی بیشترین تأثیر را بر وضعیت ماده آب دارد؟,خورشید,باد,جریان‌های اقیانوسی,هسته فلزی
MSA_2013_5_44,B,train,یک کشتی مقدار زیادی نفت را در نزدیکی یک ناحیه ساحلی نشت می‌کند. کدام یک از بیانیه‌ها توصیف می‌کند که نفت چگونه احتمالاً بر زیستگاه ساحلی تأثیر خواهد گذاشت؟,نرخ تولید مثل ماهی‌ها افزایش خواهد یافت.,پرندگان آبی قادر به استفاده از بال‌های خود نخواهند بود.,گیاهان آبزی در معرض نور خورشید بیشتری قرار خواهند گرفت.,گیاهان ساحلی به مواد مغذی بیشتری دسترسی خواهند داشت.
NYSEDREGENTS_2004_8_31,B,train,یک ویژگی شیمیایی معدنی وقتی مشهود است که معدنی,به راحتی هنگام ضربه با چکش می‌شکند,هنگام قرار دادن اسید بر روی آن حباب کند,به راحتی توسط ناخن خراشیده می‌شود,نور را از سطح خود بازتاب می‌دهد
ACTAAP_2012_7_5,D,train,یک غروب که در حال تاریک شدن است، الکس بر روی ایوان جلویی می‌نشیند و به آرامی ناپدید شدن خورشید پشت خانه همسایه آن طرف خیابان را تماشا می‌کند. کدام گزینه این مشاهدات را توضیح می‌دهد؟,نور خورشید توسط ابرها منعکس می‌شود.,نور خورشید توسط جو زمین شکست می‌یابد.,خورشید هر روز از غرب به شرق حرکت می‌کند.,خورشید به نظر می‌رسد که به دلیل چرخش زمین در حال حرکت است.
Mercury_7064208,C,train,یک تبلیغ خمیردندان بیان می‌کند که یک برند از خمیردندان‌ها، غلظت بیشتری از فلوراید نسبت به هر خمیردندان دیگری که در دسترس است، دارد. این تبلیغ احتمالاً به این نکته اشاره دارد که خمیردندان تبلیغ‌شده,طعم خوشایندی دارد.,توسط دندانپزشکان توصیه می‌شود.,به بهداشت دهان و دندان کمک می‌کند.,گران‌ترین برند فروخته‌شده است.
ACTAAP_2008_5_7,A,train,سلول‌ها چه چیزی را تجزیه می‌کنند تا انرژی تولید کنند؟,غذا,آب,کلروفیل,دی‌اکسید کربن
MCAS_2007_8_5171,A,train,لورا ۵۰ میلی‌لیتر آب جوش را به ۱۰۰ میلی‌لیتر آب یخ اضافه می‌کند. اگر این ۱۵۰ میلی‌لیتر آب سپس در فریزر قرار گیرد، در چه دمايي آب یخ می‌زند؟,۰ درجه سانتی‌گراد,۱۵ درجه سانتی‌گراد,۳۷ درجه سانتی‌گراد,۵۰ درجه سانتی‌گراد
Mercury_7239523,C,train,پیامی از مغز به عضله در بازو توسط کدام ساختارها منتقل می‌شود؟,عصب‌های حسی,عصب‌های بینابینی,عصب‌های حرکتی,عصب‌های مکانورسپتوری
Mercury_7057733,B,train,ترکیب خاک بر توانایی خاک در حفظ و انتقال آب و هوا تأثیر می‌گذارد. کدام نوع خاک برای کاشت یک باغ مولد بهترین است؟,خاک‌های شنی زیرا محتوای سیلیس بالایی دارند.,خاک‌های لومی زیرا شامل شن و رس هستند.,خاک‌های کمی سنگی زیرا معدنیات مورد نیاز را تأمین می‌کنند.,خاک‌های رسی زیرا خاک‌های سنگینی هستند و آب را حفظ می‌کنند.
MEA_2011_8_8,A,train,زمین در یک روز چند بار حول محور خود می‌چرخد؟,یک بار,دو بار,۲۴ بار,۳۶۵ بار
Mercury_7081270,B,train,دو دانش‌آموز از آن‌ها خواسته می‌شود که نموداری را در مورد طیف الکترومغناطیسی تهیه کنند. از چپ به راست، نمودار یکی از دانش‌آموزان طیف را از پرتوهای گامای تا امواج رادیویی نشان می‌دهد، در حالی که نمودار دانش‌آموز دیگر عکس آن را نشان می‌دهد. اگر معلم بگوید که هر دو نمودار صحیح هستند، آنگاه,اهمیتی ندارد که دانش‌آموزان نمودارهای خود را چگونه برچسب‌گذاری کنند.,راه‌های متعددی برای سازماندهی اطلاعات وجود دارد.,امواج دارای خواص یکسانی هستند.,دانش‌آموزان تشویق می‌شوند که کار خود را انجام دهند.
Mercury_7086153,D,train,زغال‌سنگ سنگی جامد است که از مواد ارگانیک در یک دلتای آب‌گرفته تشکیل شده است. تشکیل زغال‌سنگ نشان می‌دهد که,زغال‌سنگ عمدتاً از بقایای اسکلتی حیوانات تشکیل شده است.,زغال‌سنگ از ماگما که در طول زمان جامد شده است تشکیل می‌شود.,بلافاصله وقتی آب حذف می‌شود، به حالت فسیل در می‌آید.,فرایندهای زمین‌شناسی سال‌ها ادامه دارد.
Mercury_7205818,C,train,ستاره‌ها معمولاً بر اساس درخشندگی ظاهری‌شان در آسمان شب طبقه‌بندی می‌شوند. ستاره‌ها همچنین می‌توانند به طرق دیگر نیز طبقه‌بندی شوند. کدام‌یک از این روش‌ها برای طبقه‌بندی ستاره‌ها کمترین کاربرد را دارد؟,رنگ قابل مشاهده,ترکیب,بافت سطحی,دما
Mercury_SC_408784,A,train,مایکل آموخته است که حرکت زمین در منظومه شمسی باعث تغییراتی می‌شود که می‌توان آن‌ها را روی این سیاره مشاهده کرد. کدام تغییر در زمینی که زمانی برای چرخش یک بار بر روی محور خود نیاز دارد، قابل مشاهده است؟,تبدیل روز به شب,تغییر زمستان به بهار,تغییر ژانویه به فوریه,تبدیل ماه نو به ماه کامل
VASoL_2007_5_39,B,train,کدام یک از موارد زیر مشاهدهای است درباره ملخها که یک کلاس علوم می‌توانست در پیاده‌روی طبیعت خود انجام دهد؟,ملخها در یک ظرف پر از گیاهان بیشترین عمر را خواهند کرد.,ملخها سبز رنگ هستند و پاهای پشتی بلندی و شاخکهایی دارند.,ملخها احتمالاً علف بیشتری به نسبت برگ درختان خواهند خورد.,همه ملخها از تخمهایی که سال قبل گذاشته شده بودند، بیرون آمده‌اند.
Mercury_7227938,C,train,چه ویژگی ای از DNA باعث تمایز سلولی در جنین های در حال توسعه می شود؟,کدام ژن ها وجود دارند,چندین نسخه از هر ژن وجود دارد,کدام ژن ها فعال هستند,چه پروتئینی توسط یک ژن تولید می شود
MCAS_2009_5_6522,B,train,حرارت، نور و صدا همگی اشکال مختلف ___ هستند.,سوخت,انرژی,ماده,الکتریسیته
Mercury_412642,D,train,کدام یک از ویژگی‌های زیر توسط عناصر خانواده کربن به اشتراک گذاشته می‌شود؟,عدد اتمی ۶,جرم اتمی ۱۲,ساختار الکترونی یکسان,تعداد الکترون‌های والانس
Mercury_7041633,C,train,کدام یک از این فعالیت‌های انسانی به انقراض گونه‌ها کمک نمی‌کند؟,شکار,تخریب زیستگاه,اکولوژی بازسازی,گونه‌های غیربومی معرفی شده
Mercury_7154648,A,train,عدم تحمل لاکتوز وضعیتی در سیستم گوارش است که در آن شخص قادر به هضم لاکتوز، شکر موجود در شیر، نیست. فردی که به عدم تحمل لاکتوز مبتلا است، آنزیم لاکتاز کافی تولید نمی‌کند که برای شکستن لاکتوز لازم است. اگر تعداد بزرگسالان مبتلا به عدم تحمل لاکتوز بیشتر از کودکان باشد، این امر به چه معناست؟,تولید لاکتاز با گذشت زمان کاهش می‌یابد.,هضم غذا لاکتاز را تجزیه می‌کند.,عدم تحمل لاکتوز یک واکنش آلرژیک است.,عدم تحمل لاکتوز مسری است.
AKDE&ED_2008_4_21,A,train,چهار ماده در ظرف‌های کوچک قرار می‌گیرند. این مواد سپس از ظرف‌های کوچک به ظرف‌های بزرگ‌تر منتقل می‌شوند. کدام ماده به‌طور کامل ظرف بزرگ‌تر را پر خواهد کرد؟,هوا,یخ,شن,آب
Mercury_7108973,D,train,کدام یک از اجسام آسمانی زیر بیشترین چگالی را دارد؟,یک سیاره,یک شهاب‌واره,یک سحابی,یک ستاره نوترونی
Mercury_7143185,B,train,جنگل‌های بارانی گونه‌های درختی بیشتری نسبت به هر بیوم دیگری دارند. با این حال، دانشمندان متوجه شده‌اند که خاک سطح جنگل نسبتاً فقیر از مواد مغذی است. چه چیزی احتمالاً می‌تواند دلیل این مسئله باشد؟,عدم فرسایش دسترسی به مواد معدنی را کاهش می‌دهد.,مواد مغذی به‌وسیله‌ی حیات گیاهی مصرف می‌شوند.,سطح جنگل به اندازه کافی نور خورشید دریافت نمی‌کند.,حیوانات مواد مغذی را می‌خورند.
Mercury_7024483,D,train,کدام یک از این ویژگی‌ها در انسان‌ها ارثی نیست؟,قد,رنگ مو,رنگ پوست,هوش
Mercury_407675,A,train,لکه‌های آب روی پیاده‌رو به سرعت در حال تبخیر هستند. علت عمده تبخیر این لکه‌ها چیست؟,حرارت,ابرها,هوا,آب
Mercury_7213273,A,train,یک مهندس زمان لازم برای حرکت صدا از طریق نمونه‌های مختلف مواد را اندازه‌گیری کرد. تمام نمونه‌ها از نظر شکل و اندازه یکسان بودند. اندازه‌گیری‌ها با استفاده از امواج اولتراسونیک با فرکانس ۵ مگاهرتز انجام شد. مهندس احتمالاً سعی در پاسخ به کدام سؤال داشت؟,در کدام ماده صدا سریع‌تر حرکت می‌کند؟,در کدام ماده صدا دورتر می‌رود؟,آیا فرکانس بر مسافت حرکت صدا تأثیر می‌گذارد؟,آیا شکل محیط بر سرعت صدا تأثیر می‌گذارد؟
Mercury_LBS10252,C,train,کدامیک از موارد زیر شامل واحدهای متریک اندازه‌گیری نیست؟,گ، کیلوگرم، سانتی‌گرم,دسی‌لیتر، لیتر، میلی‌لیتر,پا، یارد، مایل,نیوتن، ژول، وات
Mercury_SC_413243,A,train,چرخه زندگی شب پره چگونه با حشرات دیگر که دگرگونی ناقص را طی می‌کنند، متفاوت است؟,یک پیله ایجاد می‌کند.,به یک بزرگسال تبدیل می‌شود.,تخم می‌گذارد.,برگ‌ها می‌خورد.
Mercury_417140,A,train,مکیدگی زیستی آلودگی‌ها در کجا بیشترین احتمال وجود را دارد؟,در یک دلتای رودخانه,در یک اقیانوس آزاد,در یک ناحیه جزر و مدی,در یک چشمه حرارتی زیرآبی
Mercury_7082635,C,train,نیروی جاذبه‌ای که توسط یک جسم وارد می‌شود به چه چیزی بستگی دارد؟,حجم.,وزن.,جرم.,اندازه.
Mercury_7159863,D,train,درختان احتمالاً چگونه محیطی را که در آن قرار دارند تغییر می‌دهند؟,آزاد کردن نیتروژن در خاک.,رقابت با گونه‌های غیر بومی.,افزودن دی‌اکسید کربن به جو.,برداشت آب از خاک و بازگرداندن آن به جو.
NYSEDREGENTS_2009_4_9,B,train,مدت زمان لازم برای چرخش زمین حول محور خود به میزان هفت بار چقدر است؟,یک روز,یک هفته,یک ماه,یک سال
ACTAAP_2009_7_4,D,train,کدام سیاره دارای طولانی‌ترین سال سیاره‌ای است؟,زمین,زهره,مشتری,نپتون
Mercury_SC_402105,A,train,کدام یک از منابع غیرقابل تجدید است؟,الف) نفت,ب) درختان,ج) انرژی خورشیدی,د) محصولات غذایی
MCAS_1999_8_34,A,train,اگر ماه نو در ۲ ژوئن رخ دهد، ماه نو بعدی چه زمانی رخ خواهد داد؟,۳۰ ژوئن,۲۸ ژوئن,۲۳ ژوئن,۱۵ ژوئن
Mercury_7283413,A,train,در موجودات زنده، مواد کوچکتر به هم متصل می‌شوند تا مواد بزرگتر را تشکیل دهند. کدام یک از موارد زیر به طور صحیح یک ماده بزرگتر را که با پیوند مواد کوچکتر تشکیل شده است، توصیف می‌کند؟,نوکلئوتیدها به هم متصل می‌شوند تا دی‌ان‌ای را تشکیل دهند.,اسیدهای آمینه به هم متصل می‌شوند تا دی‌ان‌ای را تشکیل دهند.,پروتئین‌ها به هم متصل می‌شوند تا نوکلئوتیدها را تشکیل دهند.,اسیدهای نوکلئیک به هم متصل می‌شوند تا پروتئین‌ها را تشکیل دهند.
Mercury_7001243,D,train,دانشمندانی که با نتایج یک آزمایش مخالف هستند باید,آزمایش را تغییر دهند.,نظرات خود را نزد خود نگه دارند.,ببینند سایر دانشمندان در مورد نتایج چه فکر می‌کنند.,آزمایش را چندین بار تکرار کنند و نتایج را مقایسه کنند.
Mercury_SC_415697,B,train,مالیدن کاغذ سنباده به یک تکه چوب چه دو نوع انرژی تولید می‌کند؟,حرارت و نور,صدا و حرارت,نور و برق,برق و صدا
Mercury_SC_401354,C,train,یک دانش‌آموز به‌طور تصادفی یک لوله آزمایش را می‌اندازد که هنگام برخورد با زمین می‌شکند. بهترین روش برای جمع‌آوری شیشه‌های شکسته چیست؟,قطعات را با یک حوله کاغذی بردارید,از کیت نشت مواد شیمیایی استفاده کنید,از خاک‌انداز و جارو استفاده کنید,قطعات را با دست بردارید
Mercury_SC_409675,A,train,یک دانشمند چندین گیاه مختلف را در یک ظرف مهر و موم شده قرار داد. او هر ساعت وضعیت اکسیژن در ظرف را بررسی کرد تا ببیند آیا تغییری کرده است. اکسیژن در ظرف چگونه احتمالاً تغییر کرده است؟,مقدار اکسیژن افزایش یافته است.,مقدار اکسیژن کاهش یافته است.,اکسیژن به آب تبدیل شده است.,اکسیژن به دی‌اکسید کربن تبدیل شده است.
Mercury_7223353,A,train,بر اساس موقعیت‌هایشان در جدول تناوبی، کدام عنصر خواص شیمیایی مشابه‌تری با کلسیم (Ca) دارد؟,بریلیوم، Be,پتاسیم، K,تیوان، Ti,یتیریوم، Y
Mercury_SC_401306,B,train,کدام نتیجه بهتر توسط حلقه رشد درخت که بسیار باریک‌تر از سایر حلقه‌های رشد است، حمایت می‌شود؟,محصولات در آن سال به خوبی رشد کردند.,یک سال به طور غیرمعمولی خشک بود.,درخت در زمان بسیار گذشته‌ای کاشته شده است.,این منطقه قبلاً درختان بیشتری داشته است.
AIMS_2008_4_2,A,train,کدام گزاره یک مشاهده است؟,گیاه دارای گل است.,گیاه بسیار زیبا است.,گیاه توت خواهد رویید.,گیاه ممکن است سمی باشد.
ACTAAP_2008_7_15,D,train,یک دانشمند در تلاش برای مدلسازی علت سال‌های سیاره‌ای از چه چیزی استفاده می‌کند؟,جرم سیاره,رنگ سیاره,دما درون هسته یک سیاره,فاصله یک سیاره از خورشید
TAKS_2009_8_9,A,train,کدامیک از این موارد به احتمال زیاد کیفیت هوا را در شهرهای بزرگ تگزاس بهبود می‌بخشد؟,محدود کردن تعداد خودروها در جاده‌ها,استفاده از بخاری‌های چوبی برای گرمایش خانه,الزام خودروهای بزرگ به استفاده از سوخت دیزل,نگهداری فیلترها در ساختمان‌های بزرگ
Mercury_SC_401220,A,train,کدام اصطلاح بهترین توصیف کننده چرخه زندگی حشره‌ای است که به مرحله بالغ می‌رسد بدون اینکه در مرحله پیوپای باشد؟,دگردیسی ناقص,دگردیسی کامل,تناوب نسل‌ها,جهش خود به خودی
Mercury_7228165,A,train,در کدام گروه طبقه‌بندی، جاندارانی یافت می‌شوند که ویژگی ذخیره ماده‌ ژنتیکی را در یک حلقه‌ واحد از DNA به اشتراک می‌گذارند؟,الف) باکتری‌ها,ب) قارچ‌ها,ج) گیاهان,د) جانوران
Mercury_7187775,B,train,فرانکلین می‌خواهد بداند که چقدر سریع مسافت‌های مختلف را می‌دود. او از یک کرنومتر برای اندازه‌گیری زمان لازم برای اتمام یک مسابقه ۵۰ متری، ۱۰۰ متری و ۲۰۰ متری استفاده می‌کند. چگونه می‌تواند سرعت خود را برای هر مسابقه محاسبه کند؟,مسافت‌ها و زمان‌ها را جمع کند.,مسافت‌ها را بر زمان‌ها تقسیم کند.,مسافت‌ها را در زمان‌ها ضرب کند.,مسافت‌ها را از زمان‌ها کم کند.
TIMSS_2011_4_pg92,D,train,برخی از حیوانات بسیار نادر هستند. به عنوان مثال، تعداد بسیار کمی از ببرهای سیبری وجود دارد. اگر تنها ببرهای سیبری باقی‌مانده مؤنث باشند، چه اتفاقی احتمالاً خواهد افتاد؟,الف) مؤنث‌ها یک نوع حیوان نر دیگر را برای جفت‌گیری پیدا خواهند کرد و ببرهای سیبری بیشتری تولید خواهند کرد.,ب) مؤنث‌ها با یکدیگر جفت‌گیری خواهند کرد و ببرهای سیبری بیشتری تولید خواهند کرد.,ج) مؤنث‌ها تنها قادر به تولید ببرهای سیبری مؤنث خواهند بود.,د) مؤنث‌ها قادر به تولید ببرهای سیبری بیشتری نخواهند بود و منقرض خواهند شد.
VASoL_2007_3_13,C,train,کدام یک از موارد زیر نمونه‌ای از آب مایع است؟,زمستان,یخ,باران,بخار
Mercury_7212345,D,train,باران اسیدی pH زیر ۵.۶ دارد. این باران می‌تواند به خاک، دریاچه‌ها، محصولات کشاورزی و ساختمان‌ها آسیب برساند. باران اسیدی به‌جز موارد زیر ناشی از چیست؟,انتشارات صنعتی از کارخانه‌ها.,زغالی که برای تولید گرما و انرژی سوزانده می‌شود.,گازهای خروجی خودروها.,مراکز تولید برق هسته‌ای که تابش تولید می‌کنند.
MCAS_2008_5_5616,A,train,در بیشتر ایام سال، هوای بوستون، ماساچوست، حاوی مقدار زیادی رطوبت است. کدامیک از موارد زیر بهترین توضیح را برای وجود مقدار زیاد رطوبت در هوا ارائه می‌دهد؟,A) بوستون نزدیک به یک اقیانوس است.,B) بوستون در ارتفاع پایینی قرار دارد.,C) بوستون در نزدیکی کوه‌های زیادی قرار دارد.,D) بوستون در شمال استوا واقع شده است.
AKDE&ED_2012_8_37,A,train,یک ستاره‌شناس در حال بررسی دو ستاره است که هر دو در فاصله یکسانی از زمین قرار دارند. ستاره X روشن‌تر از ستاره Y به نظر می‌رسد. کدام جمله بهترین توضیح را برای این مشاهده ارائه می‌دهد؟,ستاره X بزرگتر از ستاره Y است.,ستاره Y بزرگتر از ستاره X است.,ستاره X نور خورشید را بهتر از ستاره Y بازتاب می‌کند.,ستاره Y نور خورشید را بهتر از ستاره X بازتاب می‌کند.
Mercury_417153,C,train,چه سازگاری در اکوسیستم‌های جزر و مدی ضروری است ولی در اکوسیستم‌های مرجانی مورد نیاز نیست؟,توانایی زندگی در آب‌نمک,توانایی استفاده از اکسیژن در تنفس,توانایی سازگاری با دوره‌های خشک روزانه,توانایی ترکیب با محیط اطراف
MCAS_2002_8_13,D,train,چرا مناطق وسط یک قاره بزرگ به طور کلی تفاوت‌های دمایی بیشتری نسبت به مناطق نزدیک به سواحل دارند؟,به طور کلی در نزدیکی اقیانوس‌ها ابرهای بیشتری وجود دارد.,مناطق محصور در خشکی معمولاً در ارتفاع کمتری نسبت به مناطق ساحلی قرار دارند.,خطوط ساحلی معمولاً توسط کوه‌ها احاطه شده‌اند که توده‌های هوایی را مسدود می‌کنند.,اقیانوس‌ها به آرامی دما را تغییر می‌دهند و دمای زمین‌های نزدیک را تنظیم می‌کنند.
Mercury_7084298,D,train,دو عنصر در یک گروه در جدول تناوبی عناصر از نظر  شباهت بیشتری در,جرم اتمی.,تعداد پروتون‌ها.,اندازه اتمی.,واکنش‌پذیری شیمیایی.
Mercury_7233905,D,train,در چرخه کربن، کربن از یک منبع به منبع دیگر منتقل می‌شود در حالی که فرآیندهای مختلف آلی و غیرآلی در زمین رخ می‌دهد. تنها درصد کمی از کربن جهانی هر سال در این چرخه منتقل می‌شود. کربن باقی‌مانده در این منابع ذخیره می‌شود. کدام منبع حاوی بیشترین مقدار کربن ذخیره‌شده است؟,الف) توده زیستی گیاهان,ب) جو زمین,ج) سوخت‌های فسیلی,د) اقیانوس عمیق
Mercury_SC_405455,D,train,فناوری جدید موتور به خودروها کمک کرده است تا در ازای هر گالن بنزین، کارآیی بیشتری داشته باشند. از آنجایی که بنزین از نفت به دست می‌آید، این فناوری تأثیراتی بر عرضه جهانی نفت خواهد داشت به چه صورت؟,افزایش نیاز به جستجوی نفت بیشتر.,کاهش زمانی که برای تجدید نفت لازم است.,کاهش مقدار نفتی که در زیر زمین وجود دارد.,افزایش مدت زمانی که نفت برای استفاده مردم در دسترس خواهد بود.
Mercury_7191153,A,train,ذرت به طور گسترده‌ای در ایالات متحده برای تولید اتانول جهت استفاده در سوخت خودروها به کار می‌رود. تولید بیش از حد ذرت چگونه می‌تواند به محیط زیست آسیب برساند؟,کاهش باروری خاک,کاهش حمل و نقل نفت,افزایش اثر گلخانه‌ای,افزایش انتشار دی‌اکسید کربن
MCAS_8_2015_9,C,train,یک شرکت در حال طراحی یک لپ‌تاپ جدید است. این کامپیوتر نباید از وزن خاصی فراتر برود. کدام یک از موارد زیر به احتمال زیاد دلیل وزن محدود برای کامپیوتر است؟,برای آسان‌تر کردن آزمایش پروتوتایپ,برای کاهش هزینه ساخت کامپیوتر,برای آسان‌تر کردن حمل و نقل کامپیوتر,برای کاهش هزینه ساخت پروتوتایپ
Mercury_7141295,D,train,قلب، رگ‌های خونی، کلیه‌ها و مثانه که به‌طور مشترک کار می‌کنند، بهتر است به چه صورت توصیف شوند؟,الف) یک سلول.,ب) یک بافت.,ج) یک موجود زنده.,د) یک سیستم.
Mercury_7085243,A,train,کدام ویژگی یک ماده معدنی را می‌توان فقط با نگاه کردن به آن تعیین کرد؟,درخشش,جرم,وزن,سختی
Mercury_7168630,A,train,سلول‌ها واحد بنیادی ساختار و عملکرد در تمامی موجودات زنده هستند. کدام یک از این موارد بزرگ‌ترین تفاوت را بین سلول‌های یک گوریل جوان و سلول‌های یک گوریل بزرگسال توصیف می‌کند؟,گوریل بزرگسال سلول‌های بیشتری نسبت به گوریل جوان دارد.,گوریل جوان سلول‌های ساده‌تری نسبت به بزرگسال دارد.,گوریل جوان سلول‌های کوچک‌تری نسبت به بزرگسال دارد.,گوریل بزرگسال انواع مختلفی از سلول‌ها را نسبت به گوریل جوان دارد.
MEA_2010_8_7-v1,B,train,درختان غول‌پیکر سرخ‌چوب انرژی را از یک فرم به فرم دیگر تغییر می‌دهند. انرژی چگونه توسط این درختان تغییر می‌یابد؟,آنها انرژی شیمیایی را به انرژی حرکتی تبدیل می‌کنند.,آنها انرژی خورشیدی را به انرژی شیمیایی تبدیل می‌کنند.,آنها انرژی باد را به انرژی حرارتی تبدیل می‌کنند.,آنها انرژی مکانیکی را به انرژی خورشیدی تبدیل می‌کنند.
Mercury_402349,A,train,بر اساس مقیاس pH، کدام pH قوی‌ترین اسید است؟,۳,۶,۹,۱۲
