id,question_stem,choice_A,choice_B,choice_C,choice_D,answerKey,fact1,humanScore,clarity,turkIdAnonymized,source
10-354,A chemical change is likely to happen in which body part?,stomach,heart,leg,ear,A,An example of a chemical change is acid breaking down substances,1.0,1.2000000476837158,7189327f06,train
10-355,An organism passes from the world and so it,has croaked,has money,has health,has flown,A,if a living thing dies then that living thing is dead,1.0,1.600000023841858,b356d338b7,train
10-356,A toad would have better hiding places,on a house rooftop,in a glass bottle,on a forest floor,with a parachute skydiving,C,camouflage is used for hiding by animals against predators,1.0,2.0,e223f36ae0,train
10-357,Sand dunes are made of,nitrogen rich top soil,giant hills of tiny beads,the raw materiel that makes glass,small groups of parasites,C,sand dunes are made of sand,1.0,1.2000000476837158,dc78319bb0,train
10-358,The moon's surface,features of variety of landscape features,is covered completely in water,is 100% flat and smooth,is 100% covered in asteroid created craters,A,the moon 's surface contains highlands,1.0,1.7999999523162842,a8ecf6eaeb,train
10-361,Where would you be most likely to observe the most diverse of all marine ecosystems?,The Sahara Desert,off Australia's shore,silicon valley,Pacific Northwest,B,coral lives in the ocean,1.0,1.600000023841858,7c933a44d8,train
10-362,What can perform photosynthesis?,animals,people,water,shrubs,D,plant cells can perform photosynthesis,1.0,2.0,1e6dc77bb6,train
10-365,what sheds fur in warm weather?,A Great Dane,a lizard,a bird,a fish,A,some animals shed fur in warm weather,1.0,1.6699999570846558,6240cdfd8d,train
10-366,the moon rising occurs,once in a decade,4 times a year,7 times a week,1 time a month,C,the moon rising occurs once per day,1.0,1.6699999570846558,6240cdfd8d,train
10-367,A shuttle quest to Earth's light source would take lots of,muscle and time,navigation and speed,speed and light,fuel and time,D,the stars in the night sky are very far away from the Earth,1.0,1.3300000429153442,0d935542d3,train
10-368,Flora requires chlorophyll to,moonlight,undergo natural development,starlight,dairy,B,a plant requires photosynthesis to grow,1.0,2.0,dc78319bb0,train
10-369,A pond is in the middle of a back yard. There are heavy rains and the pond swells and floods. The pond now  _______ of the yard.,takes up very little,takes up almost zero,takes up a smaller minority,takes up a greater portion,D,"as the level of water rises , the amount of available land will decrease",1.0,2.0,b356d338b7,train
10-370,A creature that sometimes attaches to sharks is,another shark,a ray-finned fish,a jellyfish,a turtle,B,remora fish eat food by attaching themselves to sharks and eating the food left behind,0.800000011920929,0.800000011920929,7189327f06,train
10-371,A blue colored item will only reflect,all colors in the spectrum,only the color white,a combination of colors,an exact matching color,D,if an object is blue then that object reflects only blue light,1.0,2.0,dc78319bb0,train
10-375,"Above a stove, where a pot of water boils, is a hood. The steam from the pot rises to the hood and",gathers up,burns up dry,freezes solid,makes zero sense,A,beads of water are formed by water vapor condensing,0.8299999833106995,2.0,b356d338b7,train
10-379,a carpenter ant requires energy for,studying,yoga,growth,patience,C,an organism requires energy for growth,1.0,2.0,6240cdfd8d,train
10-380,A simple pulley example could be,Going running on a treadmill,Swimming lap in a pool,Riding a bike outside,pulling water from a well,D,a pulley is used to lift a flag on a flagpole,1.0,0.8600000143051147,cee82219a0,train
10-381,A large body of salty water drying up is responsible for the creation of the,salt flats,salt water taffy,Rocky mountains,ocean winds,A,An example of a change in the Earth is an ocean becoming a wooded area,1.0,1.6699999570846558,7c933a44d8,train
10-382,"A squirrel eats all of the acorns in a tree. The tree is empty, and the squirrel is still hungry, so",the squirrel studies,the squirrel leaves,the squirrel breeds,the squirrel flies,B,"as the supply of food in an environment decreases , the population of animals in that environment will decrease",1.0,2.0,b356d338b7,train
10-383,One way humans cause pollution,using solar energy,walking outside,riding a bike,using antibacterial soap,D,humans cause pollution,1.0,1.25,cee82219a0,train
10-385,How does erosion impact a river?,enlargening,warming,heightening,shrinking,A,erosion causes a river to become deeper and wider,0.8299999833106995,1.2899999618530273,1e6dc77bb6,train
10-386,Which activity involves exerting force on an object with a foot?,basketball,kickball,softball,volleyball,B,if an object is kicked then force is exerted on that object,1.0,1.7100000381469727,7189327f06,train
10-387,A person wants to play with a beach ball at the beach so they fill it with,water,paper,gas,food,C,a beach ball contains gas,0.800000011920929,1.1699999570846558,b356d338b7,train
10-389,Desert lizards may sometimes appear as,buildings,rock particles,trees,cement,B,some lizards live in desert habitats,0.800000011920929,0.800000011920929,cee82219a0,train
10-391,Twenty four hours contains one,high tide,4 million seconds,solar cycle,week,C,one day is equal to 24 hours,1.0,1.5,dc78319bb0,train
10-392,One way new land can be formed is by,growing it in transplanting it,having molten rock cool above sea level,creating a dam around a body of water,cooling burned plants with water,B,new land can be formed by volcanoes erupting by lava cooling,1.0,1.5,9cc91104fa,train
10-393,"If it's been twelve weeks since you put on shorts, and you notice today the hours of light and dark are just about equal, how long will it be until Winter?",just over a year,around thirteen weeks or so,when G.R.R. Martin says it's here,when the groundhog sees its shadow,B,a new season occurs once per three months,1.0,1.1699999570846558,7c933a44d8,train
10-394,"If an organism is a living thing, it will always",cry,respirate,do magic,walk a rope,B,all animals breathe,1.0,1.6699999570846558,52dbc5c7af,train
10-395,Which place are we likely to find algae?,white clouds in the sky,a small hidden puddle,an old tall building,a field of grass,B,algae is found in bodies of water,1.0,1.6699999570846558,7189327f06,train
10-396,A skin bacterium loses its habitat when,you cut off your finger nails,you eat pepperoni pizza,you brush your teeth,you blow your nose,A,if a habitat is removed then that habitat is destroyed,0.800000011920929,0.20000000298023224,e223f36ae0,train
10-397,A large turbine in a field can produce electricity to power devices when,a breeze is floating,a child is crying,a dog is barking,clouds are very thin,A,wind is used for producing electricity,1.0,1.600000023841858,b356d338b7,train
10-398,What causes erosion?,paper,gales,wood,money,B,wind causes erosion,1.0,1.600000023841858,1e6dc77bb6,train
10-399,All the water vanishes from a small depression basked in sunlight on a paved road because of,freezing,evaporation,condensation,precipitation,B,a phase change is when matter changes from one state into another state,1.0,2.0,7c933a44d8,train
10-400,audible vibrations can travel freely through,a brick,nitrogen and oxygen,the ground,a mountain,B,sound can travel through air,1.0,1.0,dc78319bb0,train
10-401,An animal needing to be warmer could,starve,eat more,go out,diet,B,fat is used to keep animals warm,1.0,2.0,b356d338b7,train
10-403,If weather is stormy there is a greater chance of what?,drought,waterfalls,sky water,fire,C,if weather is stormy then there is a greater chance of rain,1.0,1.1699999570846558,1e6dc77bb6,train
10-404,Which recyclable body part is largely comprised of muscle,the ticker,the spleen,the kidney,the liver,A,the heart is mostly made of muscle,0.8299999833106995,0.5,dc78319bb0,train
10-406,"If a thing is living, it will require",noxious foods for illness,energetic mutation of limbs,a source of happiness,a source of nutriment,D,living things all require energy for survival,1.0,2.0,b356d338b7,train
10-407,What's a good way to heat up inside after ice skating on a frozen lake?,Put on a swimming suit,set fire to some snow,run a cool bath,set fire to some natural gas,D,natural gas is a source of heat by burning,1.0,2.0,3f32b550f3,train
10-409,Water is a recyclable,commodity,lubricant,revenue,treasure,A,water is a renewable resource,1.0,2.0,dc78319bb0,train
10-410,What kind of substance will get less warm when it touches a cold object?,a dream,ideas,cold,fresh baked poptart,D,if a hot substance is touches a cold object then that substance will likely cool,1.0,1.2000000476837158,52dbc5c7af,train
10-414,"A person wants their yard to be a wonderful ecosystem for local wildlife. They consider doing a few things in order to facilitate this, but ultimately decide that the best way to make a great impact is to",make some more money,plant a wet rope,plant a blue spruce,sing to their flowers,C,planting trees has a positive impact on an ecosystem,1.0,2.0,b356d338b7,train
10-415,"A person wants to take their dog to the park as long as there is a lack of precipitation that day. After checking the weather channel, plans are canceled when it is announced that it will",be sunny,sprinkle,be humid,be windy,B,precipitation is when water falls from the sky,1.0,2.0,b356d338b7,train
10-416,Invisible forces work to keep the moon near the,sun,uranus,mars,our home planet,D,gravity causes orbits,1.0,1.2000000476837158,dc78319bb0,train
10-417,What does crop rotation renew?,plants,loans,loam,water,C,crop rotation renews soil,0.800000011920929,1.7999999523162842,1e6dc77bb6,train
10-418,Water vapor cooling causes it to what?,electrify,warm up,deliquesce,smell,C,water vapor cooling causes that water vapor to condense,1.0,0.6000000238418579,1e6dc77bb6,train
10-419,smoking will directly affect what?,hearing loss,sleep,intensity of cough,hunger,C,smoking causes direct damage to the lungs,1.0,1.2000000476837158,6240cdfd8d,train
10-420,"As it travels further into a land mass, what looses power?",a violent disturbance of the atmosphere with high winds,ideas in print media,a large jet engine,a gas guzzling automobile,A,"when a hurricane moves over land , that hurricane will decrease in strength",0.800000011920929,1.2000000476837158,7c933a44d8,train
10-428,"A person is going to explore in the ocean and sees that when they get down to a darker part,",there is more sunlight,there is more weight on them,there is more salt,there is more booze,B,"as depth increases , pressure will increase",0.800000011920929,1.2000000476837158,b356d338b7,train
10-429,What goes to a place that has a negative impact on the environment?,garbage trucks,trains,mail trucks,motorcycles,A,landfills have a negative impact on the environment,0.800000011920929,0.800000011920929,7189327f06,train
10-430,"A person turns a flashlight on and points it at a cut stone, which results in",flower patterns,varied hues,varied light scents,sizes of elephants,B,refraction is when light bends,1.0,1.2000000476837158,b356d338b7,train
10-432,A puppy was uneducated on how to go through a doggy door until,the mom did it,it read how to,it went to school,it made a plan,A,animals learn some behaviors from watching their parents,1.0,1.2000000476837158,b356d338b7,train
10-434,A book experiences tearing so it,has lost status as whole,lacks any real mass,is completely intact now,is a whole book,A,tearing means changing a whole into pieces,1.0,0.800000011920929,b356d338b7,train
10-435,A radio that takes batteries can make that energy into,fire,video,water,sound,D,electrical devices convert electricity into other forms of energy,1.0,2.0,b356d338b7,train
10-436,Gravitational force never affects,balloons,stars,sunshine,air,C,gravitational force causes objects that have mass to be pulled down on a planet,0.800000011920929,1.5,7189327f06,train
10-437,What happens to a living thing if it becomes too cold?,pass away,joy,increased energy,warmth,A,if a living thing becomes too cold then that living thing will die,1.0,1.5,1e6dc77bb6,train
10-438,As a flower becomes more aromatic it will bring in a growing crowd of,lazy tourists,leaf miners,pollinators,caterpillars,C,"as the amount of fragrance of a flower increases , the number of pollinators it will attract increases",1.0,1.3300000429153442,dc78319bb0,train
10-439,What do hawks eat?,lizard droppings,bearded dragons,cows,grass,B,hawks eat lizards,1.0,1.1699999570846558,1e6dc77bb6,train
10-440,"A puppy has a kink in his tail, but he lacked it yesterday. The puppy ______ a broken tail.",inherited,absorbed,wanted,acquired,D,the condition of the parts of an organism are acquired characteristics,1.0,1.3300000429153442,b356d338b7,train
10-441,Who would find an arctic environment most pleasant?,iguanas,parka squirrels,tiger sharks,Burmese pythons,B,the arctic environment is cold in temperature from being at a northern lattitude below 0 degrees celsius during most of the year,1.0,2.0,7c933a44d8,train
10-443,Which animal eats prey?,beetle,horse,rabbit,buffalo,A,predators eat prey,0.800000011920929,1.6699999570846558,7189327f06,train
10-445,"An environmentalist heats their home by using a corn stove. The environmentalist knows that heating this way releases carbon dioxide back into the air, but is unworried about is as a result of",it promoting plant growth,corn is too dangerous,corn is actually evil,corn grows under the water,A,biofuel releases carbon dioxide into the atmosphere,1.0,1.7999999523162842,b356d338b7,train
10-446,melting ice may be formed by,the moon,temp change,an iceberg,a reaction,B,temperature changing can cause phase changes,1.0,1.600000023841858,52dbc5c7af,train
10-447,A magnifying glass makes objects,more clear,smaller,spontaneous combust,physically grow,A,"as the size of an object appears larger , that object will be observed better",1.0,2.0,dc78319bb0,train
10-449,positively impact your bodies strength by,dead-lifting,thinking,sleeping,singing,A,exercise has a positive impact on a body 's strength,1.0,1.6699999570846558,6240cdfd8d,train
10-450,You might support a growing tomato plant with,yard stick,a bench,a flashlight,candy,A,a stem is a source of support for a plant,1.0,2.0,cee82219a0,train
10-452,Salt dissolves better in a pot of water after,drowning in the Atlantic ocean,setting the burner to maximum,setting the burner to minimum,gargling salt-water in the shower,B,"as temperature increases , the ability of that liquid to dissolve solids will increase",1.0,1.6699999570846558,7c933a44d8,train
10-453,A construction team is building a business center where a park used to be. The change in the park will,cause animals to play,cause animals to celebrate,cause animals to marry,cause animals to suffer,D,humans changing animal habitats usually causes harm to those animals,0.8299999833106995,2.0,b356d338b7,train
10-454,Meadow vales are,carnivores,hard of hearing,very large,potatoes,B,meadow voles eat plants,1.0,0.8299999833106995,cee82219a0,train
10-455,There are many protests and outraged people about humans changing the environment of the rain forest because changing even something small in an environment can,wreck it,make it cry,make it laugh,do nothing,A,humans changing an environment sometimes causes that environment to be destroyed,1.0,1.6699999570846558,bdb4135787,train
10-461,"A tree must depend upon, for its support",A large fibrous mass,plants on the forest floor,the wooden welfare state,massive redwoods on the backs of turtles,A,a trunk is a source of support for a tree,0.800000011920929,1.7999999523162842,7c933a44d8,train
10-462,Explosions destroy,Air,communities,darkness,Sunlight,B,explosions can cause harm to an organism,1.0,1.600000023841858,cee82219a0,train
10-463,A guy wants to figure out how fast makes it to work every day so he looks up,how wide the road is,how tall the building is,how the weather is,the space between destinations,D,calculating speed requires knowing distance travelled,1.0,1.7999999523162842,b356d338b7,train
10-465,An example of an electrical circuit could be,Dimming the lights,Driving a car,Drinking water,Riding a bike,A,a light bulb converts electrical energy into light energy when it is turned on,0.800000011920929,0.800000011920929,cee82219a0,train
10-466,A tiny sand particle came from,another world,boiling water,candle fragments,larger mineral chunks,D,sediment is formed by weathering,1.0,2.0,b356d338b7,train
10-467,A thousand new trucks are put on the road carrying produce. As a result,distant cities burn down,things stay the same,distant locations build quarries,distant locations have greater produce options,D,"as ability to transport food increases around the world , the available types of food in distant locations will increase",1.0,2.0,b356d338b7,train
10-468,Palm trees use the sun to,swim,eat,sleep,run,B,In the food chain process some types of plankton have the role of producer,1.0,0.800000011920929,cee82219a0,train
10-469,Tectonic expression can give massive amounts of data to a,seismograph,lie detector,geiger counter,glass of water,A,a seismograph is a kind of tool for measuring the size of an earthquake,0.8299999833106995,1.6699999570846558,dc78319bb0,train
10-470,what is an electrical energy conductor?,plastic,stone,plants,swords,D,metal is an electrical energy conductor,0.8299999833106995,2.0,1e6dc77bb6,train
10-472,"A mountain is shoved skyward one day, so there must have been",a clone,an emission,a flood,a mistake,B,mountains are formed by volcanoes,1.0,1.0,b356d338b7,train
10-473,Rain helps,candy,communities thrive,cooking,bread,B,rain is a source of water,1.0,2.0,cee82219a0,train
10-475,Rain at the apex of a pyramid will end up,on your shoes,on the side,at the footing,at the top,C,water flows down a slope,0.800000011920929,1.600000023841858,dc78319bb0,train
10-479,a windmill converts wind energy into,food,music,architecture,charged electrons,D,a windmill converts wind energy into electricity,0.800000011920929,2.0,6240cdfd8d,train
10-480,"If a plant is going to photosynthesize, it can have all aside from",water,sunlight,cake,soil,C,a plant requires sunlight for photosynthesis,0.800000011920929,2.0,b356d338b7,train
10-481,A person has a glass of water and a friend pranks them by making their water taste different. They prankster added,ice,water,soda,air,C,dissolving a substance in water causes the water to taste like that substance,1.0,2.0,b356d338b7,train
10-482,A green container with white arrows in a circle indicate it's a receptacle for,trash that can be used for a new purpose,excess and unused portions of soylent green,radioactive nuclear waste materials,hazardous biological materials and waste,A,recyclable means a material can be recycled,0.800000011920929,2.0,7c933a44d8,train
10-483,A dead skunk in the middle of the road would be most appealing to,a giraffe,a politician,a vulture,a whale,C,scavengers eat dead organisms,1.0,2.0,7c933a44d8,train
10-484,In order to grow as a child I should have,cake,cheese,candy,spinach,D,a living thing requires nutrients to grow,1.0,0.4000000059604645,cee82219a0,train
10-485,A flashlight converts chemical energy into what kind of energy?,light snacks,greens,food,illumination,D,a flashlight converts chemical energy into light energy,1.0,2.0,1e6dc77bb6,train
10-486,rocks often contain large amounts of,milk,cheese,aluminium,honey,C,rocks often contain large amounts of metal,1.0,2.0,6240cdfd8d,train
10-487,"I just read about using cardboard in layers for building, but the surfaces should be waxed to keep out water.  This premise is used by some _____________ to keep water in:",balloons,plastic bottles,leaves,books,C,waxy leaves are used for storing water by some plants,0.800000011920929,1.600000023841858,a9f90f5da1,train
10-489,Pollution is extremely difficult to contain in a,refuse facility,greenhouse,the white house,capital building,A,an landfill is a source of pollution,0.800000011920929,1.2000000476837158,dc78319bb0,train
10-490,"The Earth is going to be completing a full rotation. A child notes this, and knows that it means that",a cloud is going to rain,the moon is in the sky,a day has passed on Jupiter,"the sun rose, set and rose again",D,a Rotation of the Earth on itself takes one day,1.0,1.600000023841858,b356d338b7,train
10-491,"A person paints a white door a different color, so the door is probably now",still white,grey,white,clear,B,painting an object a color causes that object to be that color,0.800000011920929,1.2000000476837158,b356d338b7,train
10-492,Additional consistent force on a vehicle moving forward will cause that vehicle to,slightly accelerate,stop,slow down,turn,A,a force continually acting on an object in the same direction that the object is moving can cause that object 's speed to increase in a forward motion,0.800000011920929,1.600000023841858,dc78319bb0,train
10-493,rock from deep down creates what as it becomes less hot,vitamins,cracks,minerals,holes,C,minerals are formed from magma cooling,0.800000011920929,1.2000000476837158,dc78319bb0,train
10-494,What displays the movement of electrons from the base atoms?,venus,mercury,plasma star,pluto,C,plasma is formed by electrons separating from atoms in stars,0.800000011920929,0.800000011920929,52dbc5c7af,train
10-498,A goat in a lush field of dense vegetation will be bestowed,four lucky hooves,poor growth,a tin can,a shiny coat,D,an animal being born when food is available has a positive impact on that animal 's health,1.0,1.6699999570846558,7c933a44d8,train
10-499,"Salamanders may be unable to survive in a hot, dry location lacking food and water, but if it has food and water in an ideal location",it is extinguished,it may flourish,it is financed,it may crash,B,"when a habitat can support living things , living things can live in that habitat",1.0,2.0,b356d338b7,train
10-500,A way that scientists determined whether previously known planets truly are still such is based on whether,they complete rotations,they have atmosphere,they are glowing,they have life,A,pluto has not cleared its orbit,1.0,1.399999976158142,b356d338b7,train
10-501,As the Earth crust receives radiation from the sun it,releases CO2,loses mass,swells,thermally increases,D,"as temperature during the day increases , the temperature in an environment will increase",0.800000011920929,1.600000023841858,dc78319bb0,train
10-502,The earth receives uneven amounts of UV rays due to,height,distance,it's axis,width,C,the Earth being tilted on its axis causes ones side of the Earth to receive less energy from the Sun than the other side,1.0,2.0,dc78319bb0,train
10-503,What is an example of navigation?,reading novels,directing rudder,cooking,sleeping,B,An example of navigation is directing a boat,1.0,1.8300000429153442,1e6dc77bb6,train
10-505,"The moon is bright in the night sky, especially when full because",Earth shines,stars absorb it,sunlight brightens it,batteries power it,C,the moon reflects sunlight towards the Earth,1.0,2.0,b356d338b7,train
10-509,A person who is unable to hunt for nourishment may still survive and even thrive if they,harvest human organs,burn crops,purchase produce,spend time alone,C,humans eat crops,1.0,2.0,b356d338b7,train
10-513,Magma pours out a volcano and what off a cliff,drips,suspends,freezes,sticks,A,matter in the liquid state drips,0.8600000143051147,1.1399999856948853,dc78319bb0,train
10-514,"The moon is always illustrated in movies and drawings as being very rough and bumpy due to craters, but there are many areas that are",smooth,Earth,rainbow,edible,A,the moon 's surface contains flat areas,0.8299999833106995,2.0,bdb4135787,train
10-515,Some fish are,cannibals,Dry,Land animals,Magic,A,carnivores only eat animals,1.0,0.800000011920929,cee82219a0,train
10-516,Camel humps are a good example of,Iraqi roadside prime cuisine,seats for desert dwellers,a popular brand of shoe,changing to meet the environment,D,An example of an adaptation is camel humps,1.0,2.0,dc78319bb0,train
10-518,An object that contains gas often goes,in circles,forward,down,up,D,a balloon contains gas,1.0,1.6699999570846558,7189327f06,train
10-519,A hermit crab may find good protection from elements in,a mountain lion,a sky color,a stone configuration,a mouse carcass,C,rocks are a source of shelter for small animals in an environment,0.8299999833106995,1.1699999570846558,b356d338b7,train
10-520,Soil contains,the highest portion of the ozone layer,the rotten idea of a decaying democracy,waves of salt-water moving back and forth,chemical substances found in every living thing,D,if some nutrients are in the soil then those nutrients are in the food chain,0.8299999833106995,1.3300000429153442,7c933a44d8,train
10-521,Birds sometimes eat what?,grass,underground crawlers,insecticide,trees,B,birds sometimes eat insects,1.0,1.1699999570846558,1e6dc77bb6,train
10-522,What causes food to taste sweet?,crystal sucrose,heat,salt,pepper,A,sugar causes food to taste sweet,1.0,1.600000023841858,1e6dc77bb6,train
10-525,Where could you expect to see a quail sleeping?,box,field,ocean,tree,B,female birds sit in nests,1.0,0.0,150eb89dbe,train
10-526,Which item can be used more than once?,toilet paper,cloth pad,tampon,drugstore pad,B,something reusable can be used more than once,1.0,1.3300000429153442,7189327f06,train
10-527,What orbits the earth 13 times per year?,night illuminator,clouds,oceans,moon pictures,A,the moon orbiting the Earth approximately occurs 13 times per year,0.8299999833106995,0.8299999833106995,1e6dc77bb6,train
10-528,Louis Pasteur found a way to,make food tasty,make food healthier,make food wet,make food green,B,Louis Pasteur invented pasteurization,0.8299999833106995,1.1699999570846558,b356d338b7,train
10-530,365 solar cycles is equivalent to,4 full moon cycles,2 years in deep space,a trip to the moon and back,one trip around the sun,D,one year is equal to 365 days,1.0,1.6699999570846558,dc78319bb0,train
10-532,"A boy leaves a circuit in the wall open, then when he goes to turn on the lights",it fails,it succeeds,it shines,it works,A,electricity can not flow through an open circuit,1.0,0.0,b356d338b7,train
10-534,glass crystals will cause light to,go out,dim,deflect,brighten,C,objects made of glass cause refraction of light,1.0,2.0,dc78319bb0,train
10-538,"Because building a house requires a lot of daylight, it's best to do it in",January,December,July,a cave,C,the amount of daylight is greatest in the summer,1.0,1.8300000429153442,7c933a44d8,train
10-539,If an electromagnet is active then a nail touching it will become what?,frozen,reactively charged,cold,magnetic personality,B,if battery in an electromagnet is active then the nail in the electromagnet will become magnetic,1.0,2.0,1e6dc77bb6,train
10-541,A microscope is useful for looking at,giraffes,trees,butterflies,sea life,D,microscope is used to see small things by making them appear bigger,0.800000011920929,0.20000000298023224,7189327f06,train
10-543,A pony is living in a small barn and its owner dies and the pony is unable to fend for itself. The pony dies because,it is elderly,it is bored,it is vital,it required nutriment,D,lack of food causes starvation,1.0,1.600000023841858,b356d338b7,train
10-544,Personal protection equipment is essential when,experimenting with volatile and vaporous liquids,dumping lab rats in the incinerator,interfacing with tenured professors,wearing a sports cup,A,safety goggles are used for protecting the eyes during experiments,1.0,1.0,7c933a44d8,train
10-545,"A person wants to signal to another person, but is lacking a flashlight. They can",shuffle sunlight with mirrors,direct sunlight with cones,direct others with glass,direct shades with hands,A,a mirror is used for reflecting light,1.0,1.600000023841858,b356d338b7,train
10-546,Mammals with blow holes can hear signals called,radio waves,air horns,people talking,clicks,D,sound can be used for communication by animals,1.0,1.2000000476837158,dc78319bb0,train
10-547,"When there is an increase in atmospheric temperature, then",glaciers become too large,global sea level decreases,Antartica and Greenland icebergs will melt,Earth absorbs less sunlight,C,if the atmospheric temperature rises then the glaciers will melt,0.800000011920929,1.600000023841858,5ac34b743b,train
10-548,An example of an instinctive behavior could be,wind,fire,revenge,air,C,An example of an instinctive behavior is a baby bird pecking at its shell to hatch,0.800000011920929,1.7999999523162842,cee82219a0,train
10-549,Several batteries placed into a radio will make sound after first using,solar energy,wind energy,chemical energy,elbow grease,C,a battery converts chemical energy into electrical energy,0.800000011920929,2.0,b356d338b7,train
10-550,Humming birds help with the growth of,raspberries,cars,buildings,wind,A,A bird is a pollinating animal,0.800000011920929,1.6699999570846558,cee82219a0,train
10-552,A rainbow is caused by rain and what?,grass,winds,solar rays,oceans,C,sunlight and rain can cause a rainbow,1.0,2.0,1e6dc77bb6,train
10-553,"A person takes a bucket full of water and adds it to a full pool. After adding fifty buckets of water to the pool, it",drains,dries,bloats,sinks,C,"as the amount of water in a body of water increases , the water levels will increase",1.0,1.600000023841858,b356d338b7,train
10-554,the night sky shows very far away what,clumps of flaming gas,tidal waves washing over beaches,party balloons tied to houses,aircraft falling towards collision,A,a star is made of gases,1.0,0.4000000059604645,52dbc5c7af,train
10-555,You can find what on the crust of earth,clouds,stars,air,worms,D,the crust is a layer of the Earth,0.8299999833106995,1.1699999570846558,cee82219a0,train
10-557,As a Red Giant forms it's gravity will,grow,fluctuate,shrink,reverse,A,"as mass of a celestial body increases , the force of gravity on that planet will increase",0.8299999833106995,1.6699999570846558,dc78319bb0,train
10-559,what determines the number of body parts and organism is born with?,survival of fittest,random chance,the organisms creators,natural predators,C,the number of body parts of an organism is an inherited characteristic,1.0,1.6699999570846558,6240cdfd8d,train
10-560,"When you increase the viability of food, you increase the ability to",waste it,modify it,disperse it,displace it,C,"as ability to preserve food increases , the ability to transport food increases",1.0,0.800000011920929,0d935542d3,train
10-564,An example of an adult animal laying eggs is all aside from,penguins,snakes,turtles,kittens,D,some adult animals lay eggs,1.0,1.5,b356d338b7,train
10-565,A couple having a baby want to guess if the child will share the same eye color as mother and father so they,chart the likelihood,pray for peace,take a vacation,inject a dye,A,a Punnett square is used to identify the percent chance of a trait being passed down from a parent to its offspring,1.0,1.600000023841858,b356d338b7,train
10-566,A person is able to tell what shape a toy is by holding it in their hands and also,making,eating,crying,noting,D,seeing is used for sensing visual things,1.0,0.0,b356d338b7,train
10-570,"When a squid moves forward, water is",pushed directly behind it,pushed up and below it,evaporated by salt water,pushed in front of it,A,a squid produces thrust by pushing water out of its body,1.0,2.0,7c933a44d8,train
10-571,A bunny is desperate for food and happily chows down when offered,a meatball,some oregano,cat food,a steak,B,rabbits eat plants,1.0,1.2000000476837158,b356d338b7,train
10-572,What does pencil lead contain?,aluminum,stable carbon,sunlight,mineral water,B,pencil lead contains mineral graphite,1.0,2.0,1e6dc77bb6,train
10-573,"If an area of land is sloped to the right and a body of water is on that slope, then the river will flow",pollution,to the right,species,to the left,B,the slope of the land causes a river to flow in a particular direction,1.0,1.6699999570846558,bdb4135787,train
10-575,"Magnetic media, such as TVs, computer monitors, credit cards and pacemakers can be damaged when exposed to",neodymium,a paper clip,copper penny,metal nails,A,metal is sometimes magnetic,1.0,1.3700000047683716,5ac34b743b,train
10-576,"A plant needs to feed, so it",spreads it's leaves,has a bite,spreads upside down,catches rabbits,A,a leaf absorbs sunlight to perform photosynthesis,1.0,2.0,b356d338b7,train
10-577,A star produces light energy and heat because it has a variety of,moon rotation causing friction,light energy flowing to earth,reactions of nuclear form,global warming caused by co2,C,a star is a source of light energy through nuclear reactions,1.0,2.0,52dbc5c7af,train
10-578,An example of migration would be,robins flying from Minneapolis to Miami,geese flying to a park to bother the people there,bison that belong to a farmer being moved to a different pasture,mice running from a fox,A,migration is when animals move themselves from a cooler climate to a warmer climate for the winter,1.0,1.6699999570846558,3f32b550f3,train
10-579,What is the source of air?,humans,space,chemistry,nature,D,nature is the source of natural resources,0.8299999833106995,1.1699999570846558,7189327f06,train
10-580,"A woman needs to check something with binoculars, so it is likely",very near,inside the room,a ways away,in outer space,C,binoculars are used for observing distant objects,1.0,2.0,b356d338b7,train
10-581,"Compared to an area with farmland, an area with housing developments has more",crops,wilderness,light pollution,animals,C,"as distance to a city decreases , the amount of light pollution will increase",1.0,2.0,7189327f06,train
10-582,What does planting native plants has a positive impact on?,markets,territory,winds,economies,B,planting native plants has a positive impact on an ecosystem,1.0,1.2000000476837158,1e6dc77bb6,train
10-583,In order for a fox to catch a chicken it must,order Kentucky Fried Chicken,always move exponentially quicker,jump on it from a high tree,swim out to it,B,some predators move quickly to catch prey,1.0,1.600000023841858,dc78319bb0,train
10-584,High tide is a stage in the,food chain of the monarch butterfly,moon tugging on saltwater,timeline of all humanity,life cycle of land mammals,B,high tide is a stage in the tide cycle process,1.0,1.600000023841858,dc78319bb0,train
10-585,A light bulb turns on when it receives energy from,a cable,an oven,gasoline,a person,A,"when electricity flows to a light bulb , the light bulb will come on",1.0,2.0,7189327f06,train
10-586,What does a leaf need to do to absorb the most sunlight that it can?,Hide in shade,Remain small,Grow very large,Change colors,C,"as the size of a leaf increases , the amount of sunlight absorbed by that leaf will increase",1.0,1.2000000476837158,3ed3aed594,train
10-587,Molecular bounds are broken by,ice,combining vulotile ingredients,soap and water,force,B,chemical reactions cause chemical change,0.800000011920929,1.7999999523162842,dc78319bb0,train
10-588,"The thing that is shared between birds, people, snakes, and sharks is that they",defecate,eat beans,pray,lay eggs,A,all living things eliminate waste,1.0,2.0,b356d338b7,train
