,id,question_stem,choice_A,choice_B,choice_C,choice_D,answerKey,fact1,humanScore,clarity,turkIdAnonymized,source
319,9-343,What is the result of an object reflecting light toward the eye?,Being blurred,Being Seen,Blindness,Glare,B,if an object reflects light toward the eye then that object can be seen,1.0,0.800000011920929,6fcf2544e8,train
1919,10-1028,Cellular respiration releases,blood,waste,snot,feces,B,all cells perform cellular respiration,1.0,1.2000000476837158,3936d56dda,train
4841,14-1336,"Like humans, when some animals get hot, they do what in order to lower their body temperature",spend money,raise blood temperature,fly away,perspire,D,sweat is used for adjusting to hot temperatures by some animals,1.0,2.0,bdb4135787,train
1608,10-550,Humming birds help with the growth of,raspberries,cars,buildings,wind,A,A bird is a pollinating animal,0.800000011920929,1.6699999570846558,cee82219a0,train
696,9-365,"A deer eats lots of grass, but the deer is unable to create more food for itself, because in the food chain, the deer is unable to be",a producer,a consumer,a manager,a creator,A,producer is a kind of role in the food chain process,0.800000011920929,1.600000023841858,b356d338b7,train
5527,1702,How can we see that the coloration of fur is an inherited characteristic?,puppies have soft fur,kittens look like their parents,all mammals are born with fur,baby rats are mostly bald,B,the coloration of fur is an inherited characteristic,1.0,1.7999999523162842,b356d338b7,test
5855,7-1077,"Kinetic energy can be found in objects that move, such as",flower pots on a wagon,cars that are in a lot,kids that are sleeping soundly,skateboards that are ridden all day,D,motion is a source of kinetic energy in an object,1.0,2.0,b356d338b7,test
2937,12-607,"If a puppy eats old meat preserved improperly, it can",heal,do well,vomit,feel good,C,food spoiling has a negative impact on the health of the animal that eats that food,0.800000011920929,2.0,b356d338b7,train
2099,11-90,"The earth makes its way around the sun. Because of the constant rotation, the appearance of these is unlikely to be regular.",the moon,the oceans,celestial bodies,the sun,C,the Earth revolving around the sun causes stars to appear in different areas in the sky at different times of year,1.0,1.600000023841858,b356d338b7,train
296,7-829,"If a wolf is unable to catch prey reliably, the wolf will",show ribs,hunt more,have pups,take naps,A,"as the amount of food an animal eats decreases , that organism will become thinner",0.800000011920929,1.600000023841858,b356d338b7,train
3204,12-975,What do cactuses do when the monsoons come to their habitat?,sell precipitation to someone else,use precipitation right away,store precipitation for future use,give precipitation to their friends,C,a cactus stores water,0.800000011920929,1.7999999523162842,0317ce7c33,train
177,7-939,"When a microfiber towel is used to pick up a puddle of milk, the towel then",is milky white,is partly milk,contains the milk,is now wet,C,if something absorbs something else then that something will contain that something else,1.0,0.800000011920929,b356d338b7,train
2892,12-538,A boy that has two legs and two arms has parents that have,nearly an arm and a leg,the same number limbs,their left arms only,one right leg each,B,the number of body parts of an organism is an inherited characteristic,1.0,1.2000000476837158,b356d338b7,train
2728,12-308,A person protecting the environment they have control over will most likely,block in their yard,salt their whole yard,burn trash in their yard,flood their whole yard,A,An example of protecting the environment is creating protected areas,1.0,1.2000000476837158,b356d338b7,train
5162,9-4,A plant stem contains a system of tubes for transporting water and nutrients to,the sun,the hive mind,its neighbors,itself,D,a plant stem contains a system of tubes for transporting water and nutrients to other parts of the plant,1.0,2.0,c1e2e5a65e,validation
1310,10-82,If a tree is separated from it's roots it will,run away,expire,have a party,get stronger,B,if a tree is cut down then that tree will die,1.0,2.0,dc78319bb0,train
1086,9-972,"If Paul is playing basketball and finds that his skin is becoming wet and smelly, it might be because",His body is trying to lower its temperature,His heart is pumping too fast,His body is too cold,The girls watching him play think he looks hot,A,sweat cools a body,1.0,2.0,3f32b550f3,train
5889,9-433,How many times would someone change the page of a calendar in a year?,13,12,15,14,B,one year is equal to 365 days,1.0,2.0,0317ce7c33,test
2024,10-1185,A coral plant will thrive in,depths,jungles,arctic,shallows,D,usually coral lives in warm water,0.800000011920929,2.0,b356d338b7,train
2457,11-662,Where would an archaeologist likely find an impression of an ancient footprint?,lying on the beach,under layers of dirt,on the surface of the moon,buried in a graveyard,B,An example of a fossil is a footprint in a rock,1.0,1.7999999523162842,7b06152ffc,train
4081,14-19,What resources can be used over again?,finite,fuels,sustainable,one use,C,renewable resources can be used over again,1.0,2.0,1e6dc77bb6,train
1451,10-312,Slamming the breaks in a car will,make the car speed,quickly bring the speed down,turn on it's radio,open all the doors,B,skidding causes speed to decrease,1.0,2.0,dc78319bb0,train
2516,12-14,Death begins for a leaf the second it,is released,is eaten,is born,is burned,A,if a leaf falls off of a tree then that leaf is dead,0.800000011920929,1.2000000476837158,dc78319bb0,train
2981,12-661,"if a spoon was placed outside under our closest star, what could happen to it?",it would shrink smaller,it would feel warmer to touch,it would freeze over,it would become a gas,B,absorbing sunlight causes objects to heat,0.800000011920929,1.2000000476837158,cf7109905e,train
5139,9-329,Nerves are used to feel what on the skin?,creativity,stares,emotions,coldness,D,nerves can be used to feel heat and pressure on the skin,1.0,1.7999999523162842,1e6dc77bb6,validation
544,8-472,When I play a violin the strings and create sound through,A new word,A quake,Pens,Sweat,B,plucking a string can cause that string to vibrate,0.800000011920929,1.0,cee82219a0,train
4806,14-1278,"A thing which is measured, such as a bucket of salt, needs to first be",evaded,burned,gathered,lost,C,An example of collecting data is measuring,1.0,2.0,b356d338b7,train
5365,9-242,"Some plants are easy for hummingbirds to sip nectar from. While the hummingbirds are taking nectar, the plants also gain something, which is",bird friends,more nectar,extra food,a pollinator,D,"when pollen sticks to a hummingbird , that pollen will move to where the hummingbird moves",0.800000011920929,1.600000023841858,b356d338b7,validation
2288,11-385,"A beach had large stones on it several decades ago. Now, after years of rough winds, the beach is mostly",jungle brush,enormous boulders,tiny grains,tall trees,C,wind causes erosion,1.0,1.7999999523162842,b356d338b7,train
1730,10-731,By hiding from creatures who crave the taste of their sweet flesh,mice will be able to free Aslan,some mice are able to have offspring,predator missiles can hunt their target,a field of mice can die of disease,B,avoiding predators has a positive impact on prey 's ability to reproduce,0.800000011920929,1.0,7c933a44d8,train
5140,7-556,"Substances may be combined by the pouring of one into another, for example when",filling up a tub,putting a lemon in water,adding grenadine to soda,putting food in a bowl,C,An example of combining two substances is pouring one substance into the other substance,1.0,1.2000000476837158,b356d338b7,validation
3718,13-513,"if a solid piece stands out in the elements, and reduces in size over time, what might have happened?",it is moving away,it has been depressed,it has been stolen,it has been weathered down,D,sediment is formed by weathering,1.0,2.0,cf7109905e,train
2859,12-484,A tugboat maneuvers a ship  to help,watch for sharks,load passengers,hold their anchor,increase their speed,D,a force continually acting on an object in the same direction that the object is moving can cause that object 's speed to increase in a forward motion,0.800000011920929,1.600000023841858,dc78319bb0,train
5235,9-865,What month is in the season after spring in the northern hemisphere?,june,november,march,december,A,June is during the summer in the northern hemisphere,1.0,2.0,52dbc5c7af,validation
167,7-670,The removal of trees may cause damage to ecosystems such as,cities,jungles,fields,oceans,B,cutting down trees has a negative impact on an organisms living in an ecosystem,0.800000011920929,1.7999999523162842,b356d338b7,train
157,7-1014,the top layer of soil contains the most nutrients where I,hike,wade,jog,skate,A,the top layer of soil contains the most nutrients,0.800000011920929,1.399999976158142,fd3aeffe8c,train
233,9-1063,Stems are to flowers as,dogs are to cats,cows are to cud,bees are to pollen,silos are to grains,D,a stem is used to store water by some plants,0.800000011920929,0.800000011920929,a8ecf6eaeb,train
2181,11-225,Tiny pips may be found inside of this food that is a breakfast treat.,grapefruit,flour,macaroni,ranch,A,a berry contains seeds,1.0,2.0,b356d338b7,train
2698,12-273,Honeybees would most enjoy some,foxhounds,rusty knives,creeping buttercup,blackberry smartphones,C,bees convert nectar into honey,1.0,2.0,7c933a44d8,train
1471,10-347,The Earth may lose a million parts of energy each day but,it loses more,it has less,it gains more,it is soft,C,the Earth absorbs more energy than it loses,1.0,0.800000011920929,b356d338b7,train
2776,12-367,Which of the following is likely to be true?,thunder and lightning indicate that there will be acid rain,wind indicates a chance of rain,fire indicates that there will be rain,thunder and lightning indicate a great chance of rain,D,if weather is stormy then there is a greater chance of rain,1.0,2.0,7b06152ffc,train
5662,9-44,"There are various creatures that live in forests, such as",giant fish,enormous crabs,whitetails,desert jackals,C,a deer lives in a forest,1.0,1.7999999523162842,b356d338b7,test
1954,10-1084,Diverting overflow from a reservoir through pipes generates,The Colorado River,hydropower,The Hoover Dam,solar power,B,hydropower requires damming a river,1.0,2.0,7c933a44d8,train
2571,12-99,Geese fly south for the winter because,they miss relatives,of a vacation,their following orders,of instinct,D,migration is an instinctive behavior,1.0,2.0,dc78319bb0,train
3346,12-1165,A fallen tree may provide what?,Hope,Happiness,Love,Thriving life,D,if a tree falls then that tree is dead,1.0,2.0,cee82219a0,train
401,578,Stormy weather often leads to,picnics in the park,moisture in rain gauges,dry fields and roads,sunny and bright days,B,if weather is stormy then there is a greater chance of rain,1.0,2.0,a8ecf6eaeb,train
4510,14-757,Which of the following breathes?,a basketball,a rope,a saw,a zebra,D,all animals breathe,1.0,2.0,fceb6ad063,train
1181,8-248,An animal can do some essential things without being taught or ever seeing it done,we are unaware,that is negative,that is affirmative,all of these,C,an animal knows how to do instinctive behaviors when it is born,0.800000011920929,0.6000000238418579,cf7109905e,train
5747,1047,Evaporation,causes puddles to become dried out mud,causes fields of crops to grow faster,causes flowers to bloom abundantly,fills up irrigation ponds,A,evaporation causes amount of water to decrease,1.0,2.0,a8ecf6eaeb,test
1566,10-486,rocks often contain large amounts of,milk,cheese,aluminium,honey,C,rocks often contain large amounts of metal,1.0,2.0,6240cdfd8d,train
3524,13-217,When is hotter?,desert,night,morning,noon,D,the sun is located directly overhead at noon,0.800000011920929,1.399999976158142,7b06152ffc,train
4624,14-954,This likely relies on a circuit being closed,your iPhone charger,your hair brush,your hat,your shoes,A,"when a switch in a simple series circuit is closed , electricity will flow through the circuit",1.0,2.0,7b06152ffc,train
5375,7-370,I need what to calculate the length from my big toe to my little toe?,Calculator,Tape Measure,A Graph,A Microscope,B,a tape measure is used to measure distance,1.0,2.0,cee82219a0,validation
5656,8-130,"A boy wants to use his Walkman so that he can listen to some music. When he tries to turn it on, it us unable to, and the boy realizes that he will need",heat,metal,lithium-ion,plastic,C,electric devices require electrical energy to function,1.0,1.7999999523162842,b356d338b7,test
1419,10-262,A bicycle may be used for,rain,cats,coffee grinding,elephants,C,a bicycle contains screws,0.800000011920929,1.0,cee82219a0,train
1044,9-1156,"A screw will increase in temperature when set in the sun's path, why?",heating element,building device,conduction,convection,C,if an object is exposed to a source of heat then that conductor may become hot,0.800000011920929,1.7999999523162842,52dbc5c7af,train
31,9-439,an example of an excellent earth mover is,cat,dog,annelids,fish,C,earthworms create tunnels in soil,0.800000011920929,1.7999999523162842,dc78319bb0,train
3264,12-1057,If a log is cold it is in,an oven,a fire,a toaster,a tundra,D,something in a cold place becomes cold,1.0,2.0,b356d338b7,train
3504,13-187,Water is bubbling. What characteristic is it likely to have?,intense heat,cool water,melted water,easier to transport,A,if liquid is boiling then that liquid is hot,1.0,2.0,77e0532fb7,train
598,890,Earth's magnetic patterns are helpful,to birds building a nest,to lions roaming the Sahara,to birds looking a warmer locale,to whales trying to find a mate,C,Earth 's magnetic patterns are used for finding locations by animals that migrate,1.0,1.7999999523162842,a8ecf6eaeb,train
5505,1835,Seals are most likely to be found in what type of environment?,desert,arctic,Mediterranean,tropical,B,arctic animals live in an arctic environment,0.800000011920929,1.600000023841858,d2ccffd14b,test
23,7-1133,Many animals that give birth to live young have,gills,scales,exoskeletons,legs,D,mammals give birth to live young,1.0,1.2000000476837158,7189327f06,train
4431,14-637,The looseness of soil increases the amount of what in it?,bugs,dirt,water,air,D,the looseness of soil increases the amount of oxygen in that soil,1.0,2.0,1e6dc77bb6,train
5704,9-858,What will increase when a substance absorbs solar energy?,weight,height,hotness,nutrition,C,if a substance absorbs solar energy then that substance will increase in temperature,1.0,2.0,1e6dc77bb6,test
5658,9-390,Which source provides the safest water?,River,Sea,Ocean,Rain,D,rain is a source of water,0.800000011920929,1.399999976158142,3c248b4dc4,test
4165,14-167,What rotates on its axis?,oceans,winds,blue world,people,C,the Earth rotates on its axis on its axis,1.0,2.0,1e6dc77bb6,train
4602,14-924,An inherited characteristic from my dad is,nasal structure,a building,the bike,the cat,A,the shape of body parts is an inherited characteristic,1.0,2.0,52dbc5c7af,train
1033,7-529,"When a sound is produced inside a room, sometimes there is a",light,electric charge,delayed reflection,video,C,"when a sound is produced inside of a room , there is sometimes an echo after the sound",0.800000011920929,1.7999999523162842,7189327f06,train
4889,14-1413,"A creature native to a place with vines and canopies, when compared to a creature native to a space with prickly plants and hot soil, will",spend more time wet,live in a desert,spend more time dry,live in an arid climate,A,a forest environment receives more rainfall than a desert,0.800000011920929,2.0,b356d338b7,train
84,8-267,Water in a sealed jar might do what when placed in the freezer?,evaporate,break it,melt,run off,B,"when water freezes , that water expands",1.0,1.600000023841858,9d751854d9,train
3662,13-434,a decrease in visibility while driving can cause people to crash their what?,food,chevy 2000s,career,wind,B,a decrease in visibility while driving can cause people to crash their car,1.0,2.0,1e6dc77bb6,train
4885,14-1406,The BP disaster caused what to go into what?,fuel into Gulf,satellites into space,lightning into forests,lava into park,A,offshore oil platforms might cause oil to leak into the water,1.0,2.0,be7a45e47c,train
1611,10-554,the night sky shows very far away what,clumps of flaming gas,tidal waves washing over beaches,party balloons tied to houses,aircraft falling towards collision,A,a star is made of gases,1.0,0.4000000059604645,52dbc5c7af,train
1242,798,This material was less of a thermal conductor,aluminum,copper,thermal underwear,steel,C,metal is a thermal conductor,0.800000011920929,1.600000023841858,7189327f06,train
5858,8-478,"If I want to go running at night, what can I use as a reflector?",A black shirt,Kitchen foil,Sunglasses,A megaphone,B,a reflector is used to reflect light especially on vehicles,1.0,1.7999999523162842,cee82219a0,test
2142,11-163,A person can see a large pollutant source when looking at,trash heaps,land tracts,bottle deposits,water droplets,A,an landfill is a source of pollution,0.800000011920929,1.0,b356d338b7,train
3790,13-625,If one electrical conductor touches another one what will flow through them both?,zapping power,tea,water,milk,A,if one electrical conductor contacts another electrical conductor then electricity will flow through both conductors,1.0,2.0,1e6dc77bb6,train
5762,9-776,Which of these saws will last longer?,iron saw,aluminium saw,plastic saw,wooden saw,A,"as the time a tool lasts increases , the number of tools discarded will decrease",0.800000011920929,2.0,0317ce7c33,test
2264,11-346,A creature that has developed to a certain age will be more likely to,float,sneeze,fornicate,sing,C,reproduction occurs during adulthood,1.0,1.600000023841858,b356d338b7,train
5812,9-1117,If I want to avoid being dinner for some type of frog what should I reincarnate as?,Scorpion,House Fly,Cricket,Moth,A,a frog eats insects,1.0,2.0,97e7d66d68,test
783,9-494,"if a person wanted some mineral graphite, where might they likely find some?",in the potato bread for breakfast,in a pencil for drawing class,in the vanilla ice cream,in the flower of a plant,B,pencil lead contains mineral graphite,1.0,2.0,cf7109905e,train
5490,8-257,Which of these is a hypothesis?,The ice caps will completely melt if global warming continues,The earth is round,The earth revolves around the sun,Gravity causes objects to fall,A,hypothesis means scientific guess about the cause and effect of an event,1.0,1.75,8cb5b0688e,test
2903,12-553,Which would be the worst to wear out in a thunderstorm,a large pair of rubber shoes,a medallion made of plastic products,a medallion made of ferrous metals,a medallion made of crystal,C,ferrous metals contain iron,1.0,2.0,7c933a44d8,train
439,789,Our eyes can help us with,a radio recording,shove from behind,a label,a loud noise,C,seeing is used for sensing visual things,1.0,1.600000023841858,7189327f06,train
5457,8-343,"A person wants to start saving money so that they can afford a nice vacation at the end of the year. After looking over their budget and expenses, they decide the best way to save money is to",make more phone calls,quit eating lunch out,buy less with monopoly money,have lunch with friends,B,using less resources usually causes money to be saved,1.0,2.0,b356d338b7,test
4220,14-268,Which of the following would likely reduce pollution the most?,using a truck instead of a car,using a car instead of the bus,using a motorcycle instead of a bike,using a bicycle instead of a motorcycle,D,pollution is when humans pollute the environment with pollutants,1.0,2.0,52dbc5c7af,train
3901,13-811,oceans contains most of earth 's,wet sustenance,trees,clouds,shoes,A,oceans contains most of earth 's water,1.0,2.0,6240cdfd8d,train
