link,question_number,flores_passage,question,mc_answer1,mc_answer2,mc_answer3,mc_answer4,correct_answer_num,dialect,ds
"https://en.wikinews.org/wiki/Beverly_Hall,_indicted_public_school_superintendent,_dies_aged_68",1,او در زمان اقامت در آتلانتا تحسین منتقدان را برانگیخت و به دلیل آموزش شهری نوآورانه شناخته شد. در سال 2009، عنوان «ناظر ملی سال» به او اختصاص یافت. در زمان اهدای جایزه، مدارس آتلانتا شاهد پیشرفت بزرگی در نمرات آزمون‌ها بودند. نه‌چندان بعد، آتلانتا ژورنال-کانستیتیوشن گزارشی منتشر کرد که نشان می‌داد آزمایش‌ها مشکلاتی دارند. این گزارش نشان می‌دهد که نمرات آزمون به طور غیرموجه سریع افزایش یافته است، و ادعا می‌شود مدرسه مشکلات داخلی را کشف کرده اما براساس یافته‌ها عمل نکرده است. شواهد بعد از آن حاکی از دستکاری مدارک آزمایشی توسط هال و 34 مقام آموزشی دیگر است که در 2013 محاکمه شده‌اند.,بر اساس این متن، آتلانتا ژورنال-کانستیتیوشن مقامات آموزش و پرورش را به چه چیزی متهم کرد؟,دستکاری در گزارش ژورنال-کانستیتیوشن,عدم نوآوری در آموزش شهری,عدم رسیدگی به مشکلات داخلی شناسایی شده,گزارش نمرات آزمون پایین,3,pes_Arab,2023-06-07
"https://en.wikinews.org/wiki/Beverly_Hall,_indicted_public_school_superintendent,_dies_aged_68",2,او در زمان اقامت در آتلانتا تحسین منتقدان را برانگیخت و به دلیل آموزش شهری نوآورانه شناخته شد. در سال 2009، عنوان «ناظر ملی سال» به او اختصاص یافت. در زمان اهدای جایزه، مدارس آتلانتا شاهد پیشرفت بزرگی در نمرات آزمون‌ها بودند. نه‌چندان بعد، آتلانتا ژورنال-کانستیتیوشن گزارشی منتشر کرد که نشان می‌داد آزمایش‌ها مشکلاتی دارند. این گزارش نشان می‌دهد که نمرات آزمون به طور غیرموجه سریع افزایش یافته است، و ادعا می‌شود مدرسه مشکلات داخلی را کشف کرده اما براساس یافته‌ها عمل نکرده است. شواهد بعد از آن حاکی از دستکاری مدارک آزمایشی توسط هال و 34 مقام آموزشی دیگر است که در 2013 محاکمه شده‌اند.,با توجه به متن، چه چیزی در گزارش آتلانتا ژورنال-کانستیتیوشن ذکر نشده است؟,بهبود غیرعادی نمرات آزمون,شواهدی مبنی بر دستکاری برگه‌های آزمون,برنده بهترین مدیر ملی سال 2013,پیشنهادهایی برای نوآوری آموزش شهری,1,pes_Arab,2023-06-07
https://en.wikinews.org/wiki/Bomb_blasts_kill_several_in_Iran,1,یک بمب در بیرون دفتر فرماندار کل منفجر شد. سه بمب دیگر در یک بازه دو ساعته نزدیک ساختمان‌های دولت منفجر شد. برخی گزارش‌های رسمی تعداد کشته شدگان را هشت نفر اعلام می‌کنند و گزارش‌های رسمی زخمی شدن 30 تن را تایید می‌کند؛ اما اعداد نهایی هنوز مشخص نیست.,با توجه به متن، چه اطلاعاتی از این بمباران در دست است؟,شمار نهایی تلفات,بمب‌ها در نزدیکی کدام ساختمان‌ها منفجر شدند,اینکه آیا قرار بود بمب‌های بیشتری منفجر شود ,گزارش‌های رسمی آمار کشتگان,2,pes_Arab,2023-06-07
https://en.wikinews.org/wiki/Brazilian_footballer_Gabriel_Jesus_signs_contract_extension_with_Manchester_City,1,«عیسی» 21 ساله در سال گذشته در ژانویه 2017 از باشگاه برزیلی پالمیراس طبق گزارش با دستمزد 27 میلیون پوند به منچستر سیتی ملحق شد. از آن زمان، بازیکن برزیلی در 53 مسابقه در تمام رقابت‌های باشگاه حضور برجسته‌ای داشت و 24 گل زد.,عیسی از زمان پیوستن به منچسترسیتی در سال 2017، در چند بازی شرکت کرده است؟,24,21,27,53,4,pes_Arab,2023-06-07
https://en.wikinews.org/wiki/Brazilian_footballer_Gabriel_Jesus_signs_contract_extension_with_Manchester_City,2,«عیسی» 21 ساله در سال گذشته در ژانویه 2017 از باشگاه برزیلی پالمیراس طبق گزارش با دستمزد 27 میلیون پوند به منچستر سیتی ملحق شد. از آن زمان، بازیکن برزیلی در 53 مسابقه در تمام رقابت‌های باشگاه حضور برجسته‌ای داشت و 24 گل زد.,عیسی برای پیوستن به کدام باشگاه مبلغ 27 میلیون پوند دریافت کرد؟,پالمیراس,منچستر سیتی,کروزیرو,منچستر یونایتد,2,pes_Arab,2023-06-07
https://en.wikinews.org/wiki/Building_collapses_in_Mecca_at_eve_of_Hajj_pillgrimage,1,یک پانسیون در مکه، شهر مقدس اسلام، حدود ساعت 10 امروز صبح به وقت محلی فرو ریخت. ساختمانی که شماری از زائرها در آن ساکن بودند و برای زیارت شهر مقدس در روز قبل از زیارت حج رسیده بودند. مهمانان هتل اغلب از شهروندان امارات متحده عربی بودند. آمار کشته‌ها حداقل 15 نفر است و انتظار می‌رود که افزایش یابد.,کدام جمله درباره مهمانان هاستل درست نیست؟,مهمانان برای زیارت در مکه بودند,برخی از مهمانان شهروندان محلی نبودند,مهمانان روز قبل زیارت حج آنجا بودند,اکثریت مهمانان از شهر مقدس بودند,4,pes_Arab,2023-06-07
https://en.wikinews.org/wiki/Building_collapses_in_Mecca_at_eve_of_Hajj_pillgrimage,2,یک پانسیون در مکه، شهر مقدس اسلام، حدود ساعت 10 امروز صبح به وقت محلی فرو ریخت. ساختمانی که شماری از زائرها در آن ساکن بودند و برای زیارت شهر مقدس در روز قبل از زیارت حج رسیده بودند. مهمانان هتل اغلب از شهروندان امارات متحده عربی بودند. آمار کشته‌ها حداقل 15 نفر است و انتظار می‌رود که افزایش یابد.,با توجه به متن، کدام یک از عبارات زیر صحیح است؟,هیچ تلفات جانی نداشت,همه مهمانان از امارات متحده عربی بودند,مهمانان در روز قبل از زیارت حج آنجا بودند,اغلب مهمانان از محلی‌های مکه بودند,3,pes_Arab,2023-06-07
https://en.wikinews.org/wiki/Burning_debris_from_satellites_spotted_over_several_US_cities,1,این ماهواره‌ها که هر دو وزن‌شان بیش از 1000 پوند است و تقریباً با سرعت 17،500 مایل بر ساعت حرکت می‌کنند، 491 مایل بالاتر از سطح زمین با هم برخورد کردند. به گفته دانشمندان، انفجار ناشی از این برخورد بسیار گسترده بود. آنها هنوز در حال تعیین میزان بزرگی برخورد چگونگی تأثیرپذیری زمین از آن هستند. فرماندهی استراتژیک وزارت دفاع آمریكا در حال ردیابی مخروبه‌هاست. نتیجه تحلیل نقشه برداری بر روی یک وب سایت عمومی منتشر می‌شود.,با توجه به متن، چه اطلاعاتی درباره برخورد نامعلوم نیست؟,اندازه برخورد,موقعیت مکانی برخورد,اثر برخورد بر زمین,موقعیت مکانی مخروبه‌ها,2,pes_Arab,2023-06-07
https://en.wikinews.org/wiki/Burning_debris_from_satellites_spotted_over_several_US_cities,2,این ماهواره‌ها که هر دو وزن‌شان بیش از 1000 پوند است و تقریباً با سرعت 17،500 مایل بر ساعت حرکت می‌کنند، 491 مایل بالاتر از سطح زمین با هم برخورد کردند. به گفته دانشمندان، انفجار ناشی از این برخورد بسیار گسترده بود. آنها هنوز در حال تعیین میزان بزرگی برخورد چگونگی تأثیرپذیری زمین از آن هستند. فرماندهی استراتژیک وزارت دفاع آمریكا در حال ردیابی مخروبه‌هاست. نتیجه تحلیل نقشه برداری بر روی یک وب سایت عمومی منتشر می‌شود.,با توجه به متن، هنوز چه چیزی درباره برخورد باید مشخص شود؟,چه کسی ردیابی مخروبه‌ها را به عهده می‌گیرد,ماهواره‌ها در زمان برخورد با چه سرعتی حرکت می‌کردند,نتایج تحلیل نقشه‌برداری چگونه منتشر خواهد شد,مقیاس دقیق برخورد,4,pes_Arab,2023-06-07
https://en.wikinews.org/wiki/Businessman_and_founder_of_The_Weather_Channel_Frank_Batten_dies_at_82,1,«بَتن» در لیست 400 آمریکایی پولدار سال 2008 با داشتن سرمایه‌ای به ارزش تخمینی 2.3 میلیارد دلار، رتبه 190 را کسب کرد. او از کالج هنر و علوم دانشگاه ویرجینیا در سال 1950 فارغ‌التحصیل شد و یکی از خیرین مهم حامی آن مؤسسه بود.,بر اساس این متن، بَتن زمانی در فهرست ثروتمندترین آمریکایی‌ها چه جایگاهی داشت؟,400ام,20ام,190ام,23ام,3,pes_Arab,2023-06-07
https://en.wikinews.org/wiki/Businessman_and_founder_of_The_Weather_Channel_Frank_Batten_dies_at_82,2,«بَتن» در لیست 400 آمریکایی پولدار سال 2008 با داشتن سرمایه‌ای به ارزش تخمینی 2.3 میلیارد دلار، رتبه 190 را کسب کرد. او از کالج هنر و علوم دانشگاه ویرجینیا در سال 1950 فارغ‌التحصیل شد و یکی از خیرین مهم حامی آن مؤسسه بود.,بَتن به کدام یک از موارد زیر کمک مالی کرد؟,فهرست ثروتمندترین شهروندان آمریکا,دانشگاه ویرجینیا,تعداد قابل‌توجهی از مؤسسات,کالج‌هایی که وقف هنر و علوم بودند,2,pes_Arab,2023-06-07
https://en.wikinews.org/wiki/California_bans_sale_of_violent_video_games_to_minors,1,حکمران کالیفرنیا، آرنولد شوارتزنگر، لایحه‌ای به قانون افزود که فروش و اجاره بازی‌های ویدیویی خشن به افراد کم سن و سال ممنوع شود. این لایحه بازی های ویدئویی خشونت آمیز که در ایالت کالیفرنیا فروخته می شود را ملزم به نصب برچسب «18» می‌کند و برای تخلف در فروش آنها به افراد زیر سن قانونی جریمه 1000 دلاری تعیین می‌کند.,چه بخشی از لایحه توسط فرماندار آرنولد شوارتزنگر امضا نشده است؟,ممنوعیت فروش یا کرایه بازی‌های ویدئویی خشونت‌آمیز به خردسالان در سراسر کالیفرنیا,جریمه‌های نقدی برای متخلفین,ممنوعیت فروش یا اجاره بازی های ویدئویی خشونت آمیز به افراد زیر سن قانونی خارج از کالیفرنیا,الزام نصب برچسب روی بازی‌های خشن,3,pes_Arab,2023-06-07
https://en.wikinews.org/wiki/California_lawmaker_denies_affairs_after_sexual_discussion_becomes_public,1,دووال، که با داشتن دو فرزند بزرگسال، ازدواج کرده است، تأثیر زیادی بر میلر که داستان به وی مربوط می‌شود نگذاشت. هنگامی‌ که از میلر خواسته شد اظهارنظر کند گفت: «مایک در زمان دادرسی زیاد صحبت می‌کرد ... من داشتم آماده می‌شدم بنابراین واقعاً نمی‌شنیدم که چه می‌گوید.»,با توجه به متن، چه کسی متوجه چیزهایی که گفته می‌شد، نشده بود؟,فرزندان دووال,مایک,میلر,دووال,3,pes_Arab,2023-06-07
https://en.wikinews.org/wiki/California_lawmaker_denies_affairs_after_sexual_discussion_becomes_public,2,دووال، که با داشتن دو فرزند بزرگسال، ازدواج کرده است، تأثیر زیادی بر میلر که داستان به وی مربوط می‌شود نگذاشت. هنگامی‌ که از میلر خواسته شد اظهارنظر کند گفت: «مایک در زمان دادرسی زیاد صحبت می‌کرد ... من داشتم آماده می‌شدم بنابراین واقعاً نمی‌شنیدم که چه می‌گوید.»,طبق این متن، کدام یک از موارد زیر درباره تجربه میلر در جلسه دادرسی صحیح است؟,دووال در طول جلسه دادرسی بر میلر تأثیر گذاشت,وقتی در حال آماده شدن بود،‌ به او توجهی نمی‌کرد,دو فرزند دووال در طی جلسه دادرسی صحبت بسیاری کردند,او به داستان دووال توجه جدی نشان می‌داد,2,pes_Arab,2023-06-07
https://en.wikinews.org/wiki/Canadian_Prime_Minister_Harper_agrees_to_send_%27Clean_Air_Act%27_to_committee,1,استیون هارپر، نخست وزیر، پس از جلسه 25 دقیقه‌ای در روز سه‌شنبه با جک لیتون، رهبر حزب دموکراتیک جدید در دفتر نخست وزیری موفقت کرد تا قبل از قرائت دوم، «قانون هوای پاک» را برای بررسی به کمیته همه‌جانبه ارسال کند. لیتون طی جلسه‌ای که با نخست وزیر داشت، خواستار تغییراتی در لایحه زیست‌محیطی شد و «بازنویسی تمام و کمال» لایحه زیست محیطی حزب محافظه کار را درخواست کرد. از آن موقع دولت فدرال وارد شده تا بودجه بیمارستان Mersey در دوونپورت تاسمانی را تقبل کند، دولت ایالتی و برخی از نمایندگان پارلمان این اقدام را نقد کرده و آن را شیرین‌کاری قبل از انتخابات فدرال که در نوامبر برگزار می‌شود می‌دانند. اما نخست وزیر جان هاوارد گفت که این اقدام فقط برای محافظت از ساختمان‌های بیمارستان در مقابل تخریب توسط دولت تاسمانی و بخشیدن 45 میلیون دلار استرالیا اضافی است.,چه کسی بررسی «قانون هوای پاک»را پیشنهاد کرد؟,جان هاوارد,حزب محافظه‌ کار,جک لیتون,استیون هارپر,3,pes_Arab,2023-06-07
https://en.wikinews.org/wiki/Canadian_Prime_Minister_Harper_agrees_to_send_%27Clean_Air_Act%27_to_committee,2,استیون هارپر، نخست وزیر، پس از جلسه 25 دقیقه‌ای در روز سه‌شنبه با جک لیتون، رهبر حزب دموکراتیک جدید در دفتر نخست وزیری موفقت کرد تا قبل از قرائت دوم، «قانون هوای پاک» را برای بررسی به کمیته همه‌جانبه ارسال کند. لیتون طی جلسه‌ای که با نخست وزیر داشت، خواستار تغییراتی در لایحه زیست‌محیطی شد و «بازنویسی تمام و کمال» لایحه زیست محیطی حزب محافظه کار را درخواست کرد. از آن موقع دولت فدرال وارد شده تا بودجه بیمارستان Mersey در دوونپورت تاسمانی را تقبل کند، دولت ایالتی و برخی از نمایندگان پارلمان این اقدام را نقد کرده و آن را شیرین‌کاری قبل از انتخابات فدرال که در نوامبر برگزار می‌شود می‌دانند. اما نخست وزیر جان هاوارد گفت که این اقدام فقط برای محافظت از ساختمان‌های بیمارستان در مقابل تخریب توسط دولت تاسمانی و بخشیدن 45 میلیون دلار استرالیا اضافی است.,چه کسی استفاده از «قانون هوای پاک» را به عنوان شیرین کاری قبل از انتخابات رد کرد؟,مسئولان دولت ایالتی,نخست وزیر,رهبر NDP,یک نماینده مجلس فدرال,2,pes_Arab,2023-06-07
https://en.wikinews.org/wiki/Canadian_inspectors_to_test_food_ingredients_from_China,1,اسید سیانوریک و نیز ملامین در نمونه‌های ادرار حیوانات خانگی که پس از مصرف غذای آلوده مخصوص حیوانات مردند، یافت شد. محققان دانشگاه گفتند که این دو ترکیب در واکنش با یکدیگر مواد کریستالی تشکیل می‌دهد و می‌تواند عملکرد کلیه را مسدود کند. پژوهشگران با افزودن ملامین و اسید سیانوریک در ادرار گربه، تشکیل کریستال‌ها را مشاهده کردند. نتیجه سنجش طیف سنجی مادون قرمز (طیف‌سنجی تبدیل فوریه فروسرخ) مشخص کرد ترکیب این بلورها با مواردی که در ادرار حیوانات خانگی مبتلا دیده می‌شود مطابقت دارد.,ترکیبات اسید سیانوریک و ملامین در هنگام واکنش با یکدیگر در ادرار گربه چه چیزی را تشکیل دادند؟,کلیه,غذای حیوانات خانگی,کریستال,طیف سنجی مادون قرمز,3,pes_Arab,2023-06-07
https://en.wikinews.org/wiki/Canadian_inspectors_to_test_food_ingredients_from_China,2,اسید سیانوریک و نیز ملامین در نمونه‌های ادرار حیوانات خانگی که پس از مصرف غذای آلوده مخصوص حیوانات مردند، یافت شد. محققان دانشگاه گفتند که این دو ترکیب در واکنش با یکدیگر مواد کریستالی تشکیل می‌دهد و می‌تواند عملکرد کلیه را مسدود کند. پژوهشگران با افزودن ملامین و اسید سیانوریک در ادرار گربه، تشکیل کریستال‌ها را مشاهده کردند. نتیجه سنجش طیف سنجی مادون قرمز (طیف‌سنجی تبدیل فوریه فروسرخ) مشخص کرد ترکیب این بلورها با مواردی که در ادرار حیوانات خانگی مبتلا دیده می‌شود مطابقت دارد.,محققان از طیف‌ سنجی مادون قرمز برای مشاهده چه چیزی استفاده کردند؟,عملکرد کلیه,ترکیبات کریستالی در ادرار حیوان خانگی,حیوانات خانگی مبتلا,غذای آلوده مخصوص حیوانات خانگی,2,pes_Arab,2023-06-07
https://en.wikinews.org/wiki/Canadian_professional_wrestler_Luna_Vachon_dies_aged_48,1,«شین هوا» گزارش داد که بازرسان دولت روز چهارشنبه دو گزارش پرواز از «جعبه سیاه» را بازیابی کردند. کشتی گیران همکار نیز به لونا ادای احترام کردند. تامی‌ دریمر گفت: «لونا اولین ملکه Extreme بود. اولین مدیر من. لونا در شبی که دو ماه داشت درگذشت. بسیار زیبا و بی‌مانند بود. یک زن قوی.» داستین «گلدوست» رونلز اظهار داشت: «لونا به اندازه من دمدمی‌مزاج بود... شاید هم بیشتر از من... او را دوست داشتم اما ترکش کردم... امیدوارم که او در وضعیت بهتری باشد.»,چه کسی از لونا به عنوان «ملکه Extreme» یاد کرد؟,داستین رونلز,شین هوا,مدیر لونا,تامی دریمر,4,pes_Arab,2023-06-07
https://en.wikinews.org/wiki/Canadian_professional_wrestler_Luna_Vachon_dies_aged_48,2,«شین هوا» گزارش داد که بازرسان دولت روز چهارشنبه دو گزارش پرواز از «جعبه سیاه» را بازیابی کردند. کشتی گیران همکار نیز به لونا ادای احترام کردند. تامی‌ دریمر گفت: «لونا اولین ملکه Extreme بود. اولین مدیر من. لونا در شبی که دو ماه داشت درگذشت. بسیار زیبا و بی‌مانند بود. یک زن قوی.» داستین «گلدوست» رونلز اظهار داشت: «لونا به اندازه من دمدمی‌مزاج بود... شاید هم بیشتر از من... او را دوست داشتم اما ترکش کردم... امیدوارم که او در وضعیت بهتری باشد.»,چه کسی از لونا با عنوان «دمدمی مزاج» یاد کرد؟,طرفدارانش,داستین رونلز,بازرسان دولت,تامی دریمر,2,pes_Arab,2023-06-07
"https://en.wikinews.org/wiki/Car_crashes_into_house_in_Suffolk,_UK,_seriously_injuring_man",1,اگرچه هنگام برخورد ماشین به خانه سه نفر در آنجا بودند، هیچ کدام صدمه ندیدند. با این حال، راننده دچار مصدومیت جدی از ناحیه سر شد. زمانیکه کارکنان خدمات اورژانس مشغول آزاد کردن راننده از آئودی TT قرمز بودند، جاده محل تصادف موقتاً بسته شد. او در ابتدا در بیمارستان جیمز پاژه در گریت یارموث بستری بود. او سپس به بیمارستان ادن بروک کمبریج منتقل شد.,چه اتفاقی برای راننده درگیر در تصادف نیفتاد؟,وی از ناحیه سر صدمه دید,او به هیچ یک از افراد داخل خانه آسیب نرساند,او از بیمارستانی در کمبریج به بیمارستانی در گریت یارموث منتقل شد,نیروهای اورژانس برای خارج کردن او از خودرویش کمک کردند,3,pes_Arab,2023-06-07
